description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.88
ADV ENERGY INDS,USD,EASYGE,3.09
QUANTA SERVICES,USD,EASYGE,2.57
CAMECO CORP,USD,EASYGE,1.69
CARPENTER TECH,USD,EASYGE,1.94
ELBIT SYSTEMS,USD,EASYGE,1.77
NVIDIA CORP,USD,EASYGE,4.81
GRAHAM CORP,USD,EASYGE,2.81
STMICROELECTR-NY,USD,EASYGE,1.14
ATI INC,USD,EASYGE,2.26
MICRON TECH,USD,EASYGE,4.79
TTM TECHNOLOGIES,USD,EASYGE,1.70
ARGAN INC,USD,EASYGE,3.79
FORMFACTOR INC,USD,EASYGE,4.36
AIXTRON SE,EUR,EASYGE,2.11
INFINEON TECH,EUR,EASYGE,2.57
MONOLITHIC POWER,USD,EASYGE,1.23
CIENA CORP,USD,EASYGE,3.62
INTERACTIVE BROK,USD,EASYGE,1.23
NEBIUS GROUP NV,USD,EASYGE,1.90
KRAKEN ROBOTICS INC,USD,EASYGE,0.45
BLOOM ENERGY C-A,USD,EASYGE,2.51
NLIGHT INC,USD,EASYGE,1.29
Howmet Aerospace Inc,USD,EASYGE,1.54
VERTIV HOLDINGS,USD,EASYGE,2.69
GENERAL ELECTRIC,USD,EASYGE,2.21
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.44
COHERENT CORP,USD,EASYGE,4.90
ROBINHOOD MARK-A,USD,EASYGE,1.03
GE VERNOVA LLC,USD,EASYGE,1.93
KARMAN HOLDINGS INC,USD,EASYGE,1.07
LUMENTUM HOL,USD,EASYGE,7.46
BWX TECHNOLOGIES,USD,EASYGE,0.67
SOITEC Designs,EUR,EASYGE,1.10
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,11.7
INAV - ZAR.CASH,ZAR,EASYGE,0.47
