description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.41
ADV ENERGY INDS,USD,EASYGE,3.23
QUANTA SERVICES,USD,EASYGE,2.52
CAMECO CORP,USD,EASYGE,1.61
CARPENTER TECH,USD,EASYGE,1.97
ELBIT SYSTEMS,USD,EASYGE,1.52
NVIDIA CORP,USD,EASYGE,3.94
GRAHAM CORP,USD,EASYGE,2.89
STMICROELECTR-NY,USD,EASYGE,1.42
ALLEGHENY TECH,USD,EASYGE,1.79
MICRON TECH,USD,EASYGE,6.11
TTM TECHNOLOGIES,USD,EASYGE,2.50
ARGAN INC,USD,EASYGE,4.50
FORMFACTOR INC,USD,EASYGE,4.88
AIXTRON SE,EUR,EASYGE,2.38
INFINEON TECH,EUR,EASYGE,3.01
MONOLITHIC POWER,USD,EASYGE,1.15
CIENA CORP,USD,EASYGE,4.13
INTERACTIVE BROK,USD,EASYGE,1.15
NEBIUS GROUP NV,USD,EASYGE,2.31
KRAKEN ROBOTICS INC,USD,EASYGE,0.43
BLOOM ENERGY C-A,USD,EASYGE,5.84
NLIGHT INC,USD,EASYGE,1.49
Howmet Aerospace Inc,USD,EASYGE,1.37
VERTIV HOLDINGS,USD,EASYGE,2.83
GENERAL ELECTRIC,USD,EASYGE,2.03
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.40
COHERENT CORP,USD,EASYGE,5.54
ROBINHOOD MARK-A,USD,EASYGE,0.93
GE VERNOVA LLC,USD,EASYGE,1.89
KARMAN HOLDINGS INC,USD,EASYGE,0.72
LUMENTUM HOL,USD,EASYGE,7.15
BWX TECHNOLOGIES,USD,EASYGE,0.74
SOITEC Designs,EUR,EASYGE,0.91
INAV - EUR.CASH,EUR,EASYGE,0.09
INAV - USD.CASH,USD,EASYGE,2.81
INAV - ZAR.CASH,ZAR,EASYGE,2.23
