description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.65
ADV ENERGY INDS,USD,EASYGE,1.26
QUANTA SERVICES,USD,EASYGE,2.46
CARPENTER TECH,USD,EASYGE,1.44
ELBIT SYSTEMS,USD,EASYGE,1.69
NVIDIA CORP,USD,EASYGE,7.11
GRAHAM CORP,USD,EASYGE,2.81
ATI INC,USD,EASYGE,2.96
MICRON TECH,USD,EASYGE,3.25
MOOG INC-CLASS A,USD,EASYGE,2.69
TTM TECHNOLOGIES,USD,EASYGE,1.65
ARGAN INC,USD,EASYGE,2.42
TERADYNE INC,USD,EASYGE,3.03
FORMFACTOR INC,USD,EASYGE,5.59
AIXTRON SE,EUR,EASYGE,1.80
MONOLITHIC POWER,USD,EASYGE,3.24
CIENA CORP,USD,EASYGE,3.44
INTERACTIVE BROK,USD,EASYGE,1.26
NEBIUS GROUP NV,USD,EASYGE,2.32
KRAKEN ROBOTICS INC,USD,EASYGE,0.32
BLOOM ENERGY C-A,USD,EASYGE,4.22
NLIGHT INC,USD,EASYGE,1.08
CROWDSTRIKE HO-A,USD,EASYGE,2.55
Howmet Aerospace Inc,USD,EASYGE,1.23
ONTO INNOVATION,USD,EASYGE,2.63
VERTIV HOLDINGS,USD,EASYGE,2.41
GENERAL ELECTRIC,USD,EASYGE,1.91
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,2.98
SNOWFLAKE INC-A,USD,EASYGE,0.98
COHERENT CORP,USD,EASYGE,4.62
GE VERNOVA LLC,USD,EASYGE,1.81
LUMENTUM HOL,USD,EASYGE,8.58
SOITEC Designs,EUR,EASYGE,3.21
INAV - EUR.CASH,EUR,EASYGE,0.00
INAV - USD.CASH,USD,EASYGE,4.77
INAV - ZAR.CASH,ZAR,EASYGE,0.46
