description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.99
ADV ENERGY INDS,USD,EASYGE,1.39
QUANTA SERVICES,USD,EASYGE,2.61
CARPENTER TECH,USD,EASYGE,1.81
ELBIT SYSTEMS,USD,EASYGE,1.74
NVIDIA CORP,USD,EASYGE,6.94
GRAHAM CORP,USD,EASYGE,3.32
ATI INC,USD,EASYGE,3.42
MICRON TECH,USD,EASYGE,2.97
MOOG INC-CLASS A,USD,EASYGE,2.87
TTM TECHNOLOGIES,USD,EASYGE,1.53
ARGAN INC,USD,EASYGE,3.47
TERADYNE INC,USD,EASYGE,2.99
FORMFACTOR INC,USD,EASYGE,5.28
AIXTRON SE,EUR,EASYGE,1.94
MONOLITHIC POWER,USD,EASYGE,3.17
CIENA CORP,USD,EASYGE,3.77
INTERACTIVE BROK,USD,EASYGE,1.26
NEBIUS GROUP NV,USD,EASYGE,2.23
KRAKEN ROBOTICS INC,USD,EASYGE,0.43
BLOOM ENERGY C-A,USD,EASYGE,3.18
NLIGHT INC,USD,EASYGE,1.27
CROWDSTRIKE HO-A,USD,EASYGE,2.00
Howmet Aerospace Inc,USD,EASYGE,1.54
ONTO INNOVATION,USD,EASYGE,2.85
VERTIV HOLDINGS,USD,EASYGE,2.59
GENERAL ELECTRIC,USD,EASYGE,2.12
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.68
SNOWFLAKE INC-A,USD,EASYGE,0.96
COHERENT CORP,USD,EASYGE,4.44
GE VERNOVA LLC,USD,EASYGE,1.90
LUMENTUM HOL,USD,EASYGE,8.21
SOITEC Designs,EUR,EASYGE,2.44
INAV - USD.CASH,USD,EASYGE,2.96
INAV - ZAR.CASH,ZAR,EASYGE,0.52
