description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.50
ADV ENERGY INDS,USD,EASYGE,3.17
QUANTA SERVICES,USD,EASYGE,2.82
CAMECO CORP,USD,EASYGE,1.83
CARPENTER TECH,USD,EASYGE,1.62
ELBIT SYSTEMS,USD,EASYGE,1.92
NVIDIA CORP,USD,EASYGE,4.70
GRAHAM CORP,USD,EASYGE,2.55
STMICROELECTR-NY,USD,EASYGE,1.45
ALLEGHENY TECH,USD,EASYGE,1.64
MICRON TECH,USD,EASYGE,4.89
TTM TECHNOLOGIES,USD,EASYGE,2.54
ARGAN INC,USD,EASYGE,4.34
FORMFACTOR INC,USD,EASYGE,4.86
AIXTRON SE,EUR,EASYGE,1.57
INFINEON TECH,EUR,EASYGE,2.61
MONOLITHIC POWER,USD,EASYGE,1.45
CIENA CORP,USD,EASYGE,5.57
INTERACTIVE BROK,USD,EASYGE,1.12
NEBIUS GROUP NV,USD,EASYGE,2.03
KRAKEN ROBOTICS INC,USD,EASYGE,0.58
BLOOM ENERGY C-A,USD,EASYGE,6.20
NLIGHT INC,USD,EASYGE,2.12
Howmet Aerospace Inc,USD,EASYGE,1.42
VERTIV HOLDINGS,USD,EASYGE,3.06
GENERAL ELECTRIC,USD,EASYGE,1.87
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.05
COHERENT CORP,USD,EASYGE,5.63
ROBINHOOD MARK-A,USD,EASYGE,0.80
GE VERNOVA LLC,USD,EASYGE,2.03
KARMAN HOLDINGS INC,USD,EASYGE,1.03
LUMENTUM HOL,USD,EASYGE,8.20
BWX TECHNOLOGIES,USD,EASYGE,0.80
SOITEC Designs,EUR,EASYGE,1.50
INAV - EUR.CASH,EUR,EASYGE,-0.0
INAV - USD.CASH,USD,EASYGE,0.17
INAV - ZAR.CASH,ZAR,EASYGE,2.20
