description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.30
ADV ENERGY INDS,USD,EASYGE,3.26
QUANTA SERVICES,USD,EASYGE,2.55
CAMECO CORP,USD,EASYGE,1.76
CARPENTER TECH,USD,EASYGE,1.97
ELBIT SYSTEMS,USD,EASYGE,1.67
NVIDIA CORP,USD,EASYGE,4.19
GRAHAM CORP,USD,EASYGE,2.68
STMICROELECTR-NY,USD,EASYGE,1.42
ALLEGHENY TECH,USD,EASYGE,1.86
MICRON TECH,USD,EASYGE,5.50
TTM TECHNOLOGIES,USD,EASYGE,2.63
ARGAN INC,USD,EASYGE,4.57
FORMFACTOR INC,USD,EASYGE,4.87
AIXTRON SE,EUR,EASYGE,2.59
INFINEON TECH,EUR,EASYGE,3.08
MONOLITHIC POWER,USD,EASYGE,1.18
CIENA CORP,USD,EASYGE,4.07
INTERACTIVE BROK,USD,EASYGE,1.23
NEBIUS GROUP NV,USD,EASYGE,2.57
KRAKEN ROBOTICS INC,USD,EASYGE,0.47
BLOOM ENERGY C-A,USD,EASYGE,6.31
NLIGHT INC,USD,EASYGE,1.65
Howmet Aerospace Inc,USD,EASYGE,1.43
VERTIV HOLDINGS,USD,EASYGE,2.87
GENERAL ELECTRIC,USD,EASYGE,2.03
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.58
COHERENT CORP,USD,EASYGE,5.39
ROBINHOOD MARK-A,USD,EASYGE,1.07
GE VERNOVA LLC,USD,EASYGE,1.87
KARMAN HOLDINGS INC,USD,EASYGE,0.75
LUMENTUM HOL,USD,EASYGE,7.13
BWX TECHNOLOGIES,USD,EASYGE,0.79
SOITEC Designs,EUR,EASYGE,1.02
INAV - EUR.CASH,EUR,EASYGE,0.09
INAV - USD.CASH,USD,EASYGE,2.92
INAV - ZAR.CASH,ZAR,EASYGE,0.48
