description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.15
ADV ENERGY INDS,USD,EASYGE,2.90
QUANTA SERVICES,USD,EASYGE,2.62
CAMECO CORP,USD,EASYGE,1.87
CARPENTER TECH,USD,EASYGE,1.67
ELBIT SYSTEMS,USD,EASYGE,1.80
NVIDIA CORP,USD,EASYGE,4.53
GRAHAM CORP,USD,EASYGE,2.56
STMICROELECTR-NY,USD,EASYGE,1.58
ALLEGHENY TECH,USD,EASYGE,1.69
MICRON TECH,USD,EASYGE,5.68
TTM TECHNOLOGIES,USD,EASYGE,2.36
ARGAN INC,USD,EASYGE,4.29
FORMFACTOR INC,USD,EASYGE,4.33
AIXTRON SE,EUR,EASYGE,2.90
INFINEON TECH,EUR,EASYGE,3.45
MONOLITHIC POWER,USD,EASYGE,1.42
CIENA CORP,USD,EASYGE,5.53
INTERACTIVE BROK,USD,EASYGE,1.14
NEBIUS GROUP NV,USD,EASYGE,2.36
KRAKEN ROBOTICS INC,USD,EASYGE,0.53
BLOOM ENERGY C-A,USD,EASYGE,5.67
NLIGHT INC,USD,EASYGE,1.91
Howmet Aerospace Inc,USD,EASYGE,1.30
VERTIV HOLDINGS,USD,EASYGE,3.01
GENERAL ELECTRIC,USD,EASYGE,1.80
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,2.85
COHERENT CORP,USD,EASYGE,5.94
ROBINHOOD MARK-A,USD,EASYGE,0.86
GE VERNOVA LLC,USD,EASYGE,1.75
KARMAN HOLDINGS INC,USD,EASYGE,0.85
LUMENTUM HOL,USD,EASYGE,8.13
BWX TECHNOLOGIES,USD,EASYGE,0.70
SOITEC Designs,EUR,EASYGE,1.44
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,1.66
INAV - ZAR.CASH,ZAR,EASYGE,0.50
