description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.02
ADV ENERGY INDS,USD,EASYGE,2.82
QUANTA SERVICES,USD,EASYGE,2.49
CAMECO CORP,USD,EASYGE,1.61
CARPENTER TECH,USD,EASYGE,2.15
ELBIT SYSTEMS,USD,EASYGE,1.78
NVIDIA CORP,USD,EASYGE,4.16
GRAHAM CORP,USD,EASYGE,2.89
STMICROELECTR-NY,USD,EASYGE,1.43
ALLEGHENY TECH,USD,EASYGE,1.82
MICRON TECH,USD,EASYGE,5.24
TTM TECHNOLOGIES,USD,EASYGE,1.87
ARGAN INC,USD,EASYGE,4.58
FORMFACTOR INC,USD,EASYGE,4.12
AIXTRON SE,EUR,EASYGE,2.39
INFINEON TECH,EUR,EASYGE,3.01
MONOLITHIC POWER,USD,EASYGE,1.14
CIENA CORP,USD,EASYGE,3.91
INTERACTIVE BROK,USD,EASYGE,1.27
NEBIUS GROUP NV,USD,EASYGE,2.02
KRAKEN ROBOTICS INC,USD,EASYGE,0.44
BLOOM ENERGY C-A,USD,EASYGE,5.89
NLIGHT INC,USD,EASYGE,1.65
Howmet Aerospace Inc,USD,EASYGE,1.47
VERTIV HOLDINGS,USD,EASYGE,2.93
GENERAL ELECTRIC,USD,EASYGE,2.19
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.56
COHERENT CORP,USD,EASYGE,4.83
ROBINHOOD MARK-A,USD,EASYGE,1.24
GE VERNOVA LLC,USD,EASYGE,2.12
KARMAN HOLDINGS INC,USD,EASYGE,0.88
LUMENTUM HOL,USD,EASYGE,6.41
BWX TECHNOLOGIES,USD,EASYGE,0.75
SOITEC Designs,EUR,EASYGE,1.02
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,4.79
INAV - ZAR.CASH,ZAR,EASYGE,2.84
