description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.63
ADV ENERGY INDS,USD,EASYGE,3.05
QUANTA SERVICES,USD,EASYGE,2.76
CAMECO CORP,USD,EASYGE,1.82
CARPENTER TECH,USD,EASYGE,1.96
ELBIT SYSTEMS,USD,EASYGE,1.98
NVIDIA CORP,USD,EASYGE,4.78
GRAHAM CORP,USD,EASYGE,2.69
STMICROELECTR-NY,USD,EASYGE,1.58
ALLEGHENY TECH,USD,EASYGE,1.91
MICRON TECH,USD,EASYGE,5.36
TTM TECHNOLOGIES,USD,EASYGE,2.35
ARGAN INC,USD,EASYGE,4.17
FORMFACTOR INC,USD,EASYGE,4.51
AIXTRON SE,EUR,EASYGE,2.87
INFINEON TECH,EUR,EASYGE,3.22
MONOLITHIC POWER,USD,EASYGE,1.40
CIENA CORP,USD,EASYGE,4.26
INTERACTIVE BROK,USD,EASYGE,1.23
NEBIUS GROUP NV,USD,EASYGE,2.25
KRAKEN ROBOTICS INC,USD,EASYGE,0.53
BLOOM ENERGY C-A,USD,EASYGE,5.58
NLIGHT INC,USD,EASYGE,1.73
Howmet Aerospace Inc,USD,EASYGE,1.46
VERTIV HOLDINGS,USD,EASYGE,2.87
GENERAL ELECTRIC,USD,EASYGE,2.06
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.38
COHERENT CORP,USD,EASYGE,5.51
ROBINHOOD MARK-A,USD,EASYGE,0.95
GE VERNOVA LLC,USD,EASYGE,1.83
KARMAN HOLDINGS INC,USD,EASYGE,0.86
LUMENTUM HOL,USD,EASYGE,7.76
BWX TECHNOLOGIES,USD,EASYGE,0.78
SOITEC Designs,EUR,EASYGE,1.32
INAV - EUR.CASH,EUR,EASYGE,0.11
INAV - USD.CASH,USD,EASYGE,1.81
INAV - ZAR.CASH,ZAR,EASYGE,0.52
