description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.46
ADV ENERGY INDS,USD,EASYGE,3.10
QUANTA SERVICES,USD,EASYGE,2.81
CAMECO CORP,USD,EASYGE,1.81
CARPENTER TECH,USD,EASYGE,1.58
ELBIT SYSTEMS,USD,EASYGE,1.77
NVIDIA CORP,USD,EASYGE,4.82
GRAHAM CORP,USD,EASYGE,2.48
STMICROELECTR-NY,USD,EASYGE,1.40
ALLEGHENY TECH,USD,EASYGE,1.61
MICRON TECH,USD,EASYGE,4.20
TTM TECHNOLOGIES,USD,EASYGE,2.51
ARGAN INC,USD,EASYGE,4.35
FORMFACTOR INC,USD,EASYGE,4.70
AIXTRON SE,EUR,EASYGE,1.65
INFINEON TECH,EUR,EASYGE,2.64
MONOLITHIC POWER,USD,EASYGE,1.41
CIENA CORP,USD,EASYGE,5.53
INTERACTIVE BROK,USD,EASYGE,1.13
NEBIUS GROUP NV,USD,EASYGE,2.14
KRAKEN ROBOTICS INC,USD,EASYGE,0.53
BLOOM ENERGY C-A,USD,EASYGE,6.34
NLIGHT INC,USD,EASYGE,2.09
Howmet Aerospace Inc,USD,EASYGE,1.42
VERTIV HOLDINGS,USD,EASYGE,3.16
GENERAL ELECTRIC,USD,EASYGE,1.84
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.08
COHERENT CORP,USD,EASYGE,5.70
ROBINHOOD MARK-A,USD,EASYGE,0.81
GE VERNOVA LLC,USD,EASYGE,2.01
KARMAN HOLDINGS INC,USD,EASYGE,1.12
LUMENTUM HOL,USD,EASYGE,8.72
BWX TECHNOLOGIES,USD,EASYGE,0.81
SOITEC Designs,EUR,EASYGE,1.63
INAV - EUR.CASH,EUR,EASYGE,-0.0
INAV - USD.CASH,USD,EASYGE,0.17
INAV - ZAR.CASH,ZAR,EASYGE,2.27
