description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.91
ADV ENERGY INDS,USD,EASYGE,1.24
QUANTA SERVICES,USD,EASYGE,2.51
CARPENTER TECH,USD,EASYGE,1.51
ELBIT SYSTEMS,USD,EASYGE,1.74
NVIDIA CORP,USD,EASYGE,7.11
GRAHAM CORP,USD,EASYGE,2.79
ATI INC,USD,EASYGE,3.13
MICRON TECH,USD,EASYGE,3.10
MOOG INC-CLASS A,USD,EASYGE,2.74
TTM TECHNOLOGIES,USD,EASYGE,1.58
ARGAN INC,USD,EASYGE,2.62
TERADYNE INC,USD,EASYGE,2.90
FORMFACTOR INC,USD,EASYGE,5.40
AIXTRON SE,EUR,EASYGE,1.78
MONOLITHIC POWER,USD,EASYGE,2.94
CIENA CORP,USD,EASYGE,3.35
INTERACTIVE BROK,USD,EASYGE,1.28
NEBIUS GROUP NV,USD,EASYGE,2.26
KRAKEN ROBOTICS INC,USD,EASYGE,0.33
BLOOM ENERGY C-A,USD,EASYGE,4.17
NLIGHT INC,USD,EASYGE,1.07
CROWDSTRIKE HO-A,USD,EASYGE,2.49
Howmet Aerospace Inc,USD,EASYGE,1.29
ONTO INNOVATION,USD,EASYGE,2.51
VERTIV HOLDINGS,USD,EASYGE,2.44
GENERAL ELECTRIC,USD,EASYGE,1.94
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,2.80
SNOWFLAKE INC-A,USD,EASYGE,1.00
COHERENT CORP,USD,EASYGE,4.86
GE VERNOVA LLC,USD,EASYGE,1.85
LUMENTUM HOL,USD,EASYGE,8.69
SOITEC Designs,EUR,EASYGE,3.08
INAV - EUR.CASH,EUR,EASYGE,0.00
INAV - USD.CASH,USD,EASYGE,4.91
INAV - ZAR.CASH,ZAR,EASYGE,0.48
