description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.79
ADV ENERGY INDS,USD,EASYGE,3.04
QUANTA SERVICES,USD,EASYGE,2.49
CAMECO CORP,USD,EASYGE,1.62
CARPENTER TECH,USD,EASYGE,1.82
ELBIT SYSTEMS,USD,EASYGE,1.70
NVIDIA CORP,USD,EASYGE,4.73
GRAHAM CORP,USD,EASYGE,2.79
STMICROELECTR-NY,USD,EASYGE,1.07
ATI INC,USD,EASYGE,2.16
MICRON TECH,USD,EASYGE,4.81
TTM TECHNOLOGIES,USD,EASYGE,1.72
ARGAN INC,USD,EASYGE,3.58
FORMFACTOR INC,USD,EASYGE,4.43
AIXTRON SE,EUR,EASYGE,2.06
INFINEON TECH,EUR,EASYGE,2.46
MONOLITHIC POWER,USD,EASYGE,1.20
CIENA CORP,USD,EASYGE,3.86
INTERACTIVE BROK,USD,EASYGE,1.20
NEBIUS GROUP NV,USD,EASYGE,2.44
KRAKEN ROBOTICS INC,USD,EASYGE,0.45
BLOOM ENERGY C-A,USD,EASYGE,2.69
NLIGHT INC,USD,EASYGE,1.33
Howmet Aerospace Inc,USD,EASYGE,1.48
VERTIV HOLDINGS,USD,EASYGE,2.63
GENERAL ELECTRIC,USD,EASYGE,2.09
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.57
COHERENT CORP,USD,EASYGE,5.07
ROBINHOOD MARK-A,USD,EASYGE,0.99
GE VERNOVA LLC,USD,EASYGE,1.90
KARMAN HOLDINGS INC,USD,EASYGE,1.02
LUMENTUM HOL,USD,EASYGE,8.10
BWX TECHNOLOGIES,USD,EASYGE,0.65
SOITEC Designs,EUR,EASYGE,1.14
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,11.2
INAV - ZAR.CASH,ZAR,EASYGE,0.45
