description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.30
ADV ENERGY INDS,USD,EASYGE,2.81
QUANTA SERVICES,USD,EASYGE,2.67
CAMECO CORP,USD,EASYGE,1.95
CARPENTER TECH,USD,EASYGE,1.78
ELBIT SYSTEMS,USD,EASYGE,1.98
NVIDIA CORP,USD,EASYGE,5.02
GRAHAM CORP,USD,EASYGE,2.60
STMICROELECTR-NY,USD,EASYGE,1.45
ALLEGHENY TECH,USD,EASYGE,1.78
MICRON TECH,USD,EASYGE,5.78
TTM TECHNOLOGIES,USD,EASYGE,2.27
ARGAN INC,USD,EASYGE,4.28
FORMFACTOR INC,USD,EASYGE,4.19
AIXTRON SE,EUR,EASYGE,2.84
INFINEON TECH,EUR,EASYGE,3.35
MONOLITHIC POWER,USD,EASYGE,1.37
CIENA CORP,USD,EASYGE,5.39
INTERACTIVE BROK,USD,EASYGE,1.23
NEBIUS GROUP NV,USD,EASYGE,2.64
KRAKEN ROBOTICS INC,USD,EASYGE,0.60
BLOOM ENERGY C-A,USD,EASYGE,5.73
NLIGHT INC,USD,EASYGE,1.87
Howmet Aerospace Inc,USD,EASYGE,1.42
VERTIV HOLDINGS,USD,EASYGE,3.12
GENERAL ELECTRIC,USD,EASYGE,1.97
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.18
COHERENT CORP,USD,EASYGE,5.48
ROBINHOOD MARK-A,USD,EASYGE,1.00
GE VERNOVA LLC,USD,EASYGE,1.84
KARMAN HOLDINGS INC,USD,EASYGE,0.93
LUMENTUM HOL,USD,EASYGE,8.32
BWX TECHNOLOGIES,USD,EASYGE,0.75
SOITEC Designs,EUR,EASYGE,1.35
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,0.01
INAV - ZAR.CASH,ZAR,EASYGE,0.48
