description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.12
ADV ENERGY INDS,USD,EASYGE,2.96
QUANTA SERVICES,USD,EASYGE,2.58
CAMECO CORP,USD,EASYGE,1.66
CARPENTER TECH,USD,EASYGE,2.17
ELBIT SYSTEMS,USD,EASYGE,1.85
NVIDIA CORP,USD,EASYGE,4.34
GRAHAM CORP,USD,EASYGE,3.00
STMICROELECTR-NY,USD,EASYGE,1.43
ALLEGHENY TECH,USD,EASYGE,1.86
MICRON TECH,USD,EASYGE,5.43
TTM TECHNOLOGIES,USD,EASYGE,2.05
ARGAN INC,USD,EASYGE,4.66
FORMFACTOR INC,USD,EASYGE,4.48
AIXTRON SE,EUR,EASYGE,2.33
INFINEON TECH,EUR,EASYGE,3.12
MONOLITHIC POWER,USD,EASYGE,1.14
CIENA CORP,USD,EASYGE,3.98
INTERACTIVE BROK,USD,EASYGE,1.26
NEBIUS GROUP NV,USD,EASYGE,2.14
KRAKEN ROBOTICS INC,USD,EASYGE,0.45
BLOOM ENERGY C-A,USD,EASYGE,5.65
NLIGHT INC,USD,EASYGE,1.67
Howmet Aerospace Inc,USD,EASYGE,1.49
VERTIV HOLDINGS,USD,EASYGE,2.89
GENERAL ELECTRIC,USD,EASYGE,2.28
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.39
COHERENT CORP,USD,EASYGE,5.01
ROBINHOOD MARK-A,USD,EASYGE,1.24
GE VERNOVA LLC,USD,EASYGE,2.14
KARMAN HOLDINGS INC,USD,EASYGE,0.98
LUMENTUM HOL,USD,EASYGE,6.67
BWX TECHNOLOGIES,USD,EASYGE,0.76
SOITEC Designs,EUR,EASYGE,1.01
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,5.01
INAV - ZAR.CASH,ZAR,EASYGE,0.54
