description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.78
ADV ENERGY INDS,USD,EASYGE,1.34
QUANTA SERVICES,USD,EASYGE,2.47
CARPENTER TECH,USD,EASYGE,1.77
ELBIT SYSTEMS,USD,EASYGE,1.65
NVIDIA CORP,USD,EASYGE,7.40
GRAHAM CORP,USD,EASYGE,2.93
ATI INC,USD,EASYGE,3.45
MICRON TECH,USD,EASYGE,3.11
MOOG INC-CLASS A,USD,EASYGE,2.80
TTM TECHNOLOGIES,USD,EASYGE,1.68
ARGAN INC,USD,EASYGE,2.82
TERADYNE INC,USD,EASYGE,2.80
FORMFACTOR INC,USD,EASYGE,4.76
AIXTRON SE,EUR,EASYGE,2.03
MONOLITHIC POWER,USD,EASYGE,2.97
CIENA CORP,USD,EASYGE,3.09
INTERACTIVE BROK,USD,EASYGE,1.31
NEBIUS GROUP NV,USD,EASYGE,2.30
KRAKEN ROBOTICS INC,USD,EASYGE,0.38
BLOOM ENERGY C-A,USD,EASYGE,3.99
NLIGHT INC,USD,EASYGE,1.08
CROWDSTRIKE HO-A,USD,EASYGE,2.24
Howmet Aerospace Inc,USD,EASYGE,1.46
ONTO INNOVATION,USD,EASYGE,2.56
VERTIV HOLDINGS,USD,EASYGE,2.76
GENERAL ELECTRIC,USD,EASYGE,2.08
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,2.72
SNOWFLAKE INC-A,USD,EASYGE,1.01
COHERENT CORP,USD,EASYGE,4.33
GE VERNOVA LLC,USD,EASYGE,1.86
LUMENTUM HOL,USD,EASYGE,8.26
SOITEC Designs,EUR,EASYGE,3.18
INAV - EUR.CASH,EUR,EASYGE,0.00
INAV - USD.CASH,USD,EASYGE,2.98
INAV - ZAR.CASH,ZAR,EASYGE,2.48
