description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.32
ADV ENERGY INDS,USD,EASYGE,2.91
QUANTA SERVICES,USD,EASYGE,2.61
CAMECO CORP,USD,EASYGE,1.61
CARPENTER TECH,USD,EASYGE,2.16
ELBIT SYSTEMS,USD,EASYGE,1.82
NVIDIA CORP,USD,EASYGE,4.95
GRAHAM CORP,USD,EASYGE,3.01
STMICROELECTR-NY,USD,EASYGE,1.41
ATI INC,USD,EASYGE,1.97
MICRON TECH,USD,EASYGE,5.08
TTM TECHNOLOGIES,USD,EASYGE,1.83
ARGAN INC,USD,EASYGE,3.87
FORMFACTOR INC,USD,EASYGE,4.16
AIXTRON SE,EUR,EASYGE,2.15
INFINEON TECH,EUR,EASYGE,2.83
MONOLITHIC POWER,USD,EASYGE,1.24
CIENA CORP,USD,EASYGE,3.92
INTERACTIVE BROK,USD,EASYGE,1.36
NEBIUS GROUP NV,USD,EASYGE,1.83
KRAKEN ROBOTICS INC,USD,EASYGE,0.45
BLOOM ENERGY C-A,USD,EASYGE,4.62
NLIGHT INC,USD,EASYGE,1.86
Howmet Aerospace Inc,USD,EASYGE,1.61
VERTIV HOLDINGS,USD,EASYGE,3.03
GENERAL ELECTRIC,USD,EASYGE,2.24
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.12
COHERENT CORP,USD,EASYGE,4.46
ROBINHOOD MARK-A,USD,EASYGE,1.25
GE VERNOVA LLC,USD,EASYGE,2.14
KARMAN HOLDINGS INC,USD,EASYGE,0.88
LUMENTUM HOL,USD,EASYGE,6.93
BWX TECHNOLOGIES,USD,EASYGE,0.74
SOITEC Designs,EUR,EASYGE,0.87
INAV - EUR.CASH,EUR,EASYGE,0.11
INAV - USD.CASH,USD,EASYGE,7.95
INAV - ZAR.CASH,ZAR,EASYGE,0.54
