description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.45
ADV ENERGY INDS,USD,EASYGE,2.98
QUANTA SERVICES,USD,EASYGE,2.80
CAMECO CORP,USD,EASYGE,1.89
CARPENTER TECH,USD,EASYGE,1.66
ELBIT SYSTEMS,USD,EASYGE,2.03
NVIDIA CORP,USD,EASYGE,4.73
GRAHAM CORP,USD,EASYGE,2.58
STMICROELECTR-NY,USD,EASYGE,1.44
ALLEGHENY TECH,USD,EASYGE,1.67
MICRON TECH,USD,EASYGE,5.09
TTM TECHNOLOGIES,USD,EASYGE,2.44
ARGAN INC,USD,EASYGE,4.43
FORMFACTOR INC,USD,EASYGE,4.68
AIXTRON SE,EUR,EASYGE,2.99
INFINEON TECH,EUR,EASYGE,3.30
MONOLITHIC POWER,USD,EASYGE,1.43
CIENA CORP,USD,EASYGE,5.32
INTERACTIVE BROK,USD,EASYGE,1.14
NEBIUS GROUP NV,USD,EASYGE,2.22
KRAKEN ROBOTICS INC,USD,EASYGE,0.56
BLOOM ENERGY C-A,USD,EASYGE,5.99
NLIGHT INC,USD,EASYGE,2.07
Howmet Aerospace Inc,USD,EASYGE,1.42
VERTIV HOLDINGS,USD,EASYGE,2.99
GENERAL ELECTRIC,USD,EASYGE,1.92
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.09
COHERENT CORP,USD,EASYGE,5.61
ROBINHOOD MARK-A,USD,EASYGE,0.92
GE VERNOVA LLC,USD,EASYGE,1.90
KARMAN HOLDINGS INC,USD,EASYGE,1.13
LUMENTUM HOL,USD,EASYGE,7.81
BWX TECHNOLOGIES,USD,EASYGE,0.79
SOITEC Designs,EUR,EASYGE,1.75
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,0.01
INAV - ZAR.CASH,ZAR,EASYGE,0.48
