description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,5.99
ADV ENERGY INDS,USD,EASYGE,1.35
QUANTA SERVICES,USD,EASYGE,2.53
CARPENTER TECH,USD,EASYGE,1.83
ELBIT SYSTEMS,USD,EASYGE,1.78
NVIDIA CORP,USD,EASYGE,6.93
GRAHAM CORP,USD,EASYGE,3.35
ATI INC,USD,EASYGE,3.56
MICRON TECH,USD,EASYGE,2.89
MOOG INC-CLASS A,USD,EASYGE,2.97
TTM TECHNOLOGIES,USD,EASYGE,1.49
ARGAN INC,USD,EASYGE,3.27
TERADYNE INC,USD,EASYGE,2.96
FORMFACTOR INC,USD,EASYGE,5.11
AIXTRON SE,EUR,EASYGE,1.98
MONOLITHIC POWER,USD,EASYGE,3.23
CIENA CORP,USD,EASYGE,3.71
INTERACTIVE BROK,USD,EASYGE,1.36
NEBIUS GROUP NV,USD,EASYGE,2.22
KRAKEN ROBOTICS INC,USD,EASYGE,0.44
BLOOM ENERGY C-A,USD,EASYGE,3.33
NLIGHT INC,USD,EASYGE,1.23
CROWDSTRIKE HO-A,USD,EASYGE,2.08
Howmet Aerospace Inc,USD,EASYGE,1.54
ONTO INNOVATION,USD,EASYGE,2.80
VERTIV HOLDINGS,USD,EASYGE,2.59
GENERAL ELECTRIC,USD,EASYGE,2.19
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.68
SNOWFLAKE INC-A,USD,EASYGE,1.00
COHERENT CORP,USD,EASYGE,4.38
GE VERNOVA LLC,USD,EASYGE,1.92
LUMENTUM HOL,USD,EASYGE,8.05
SOITEC Designs,EUR,EASYGE,2.48
INAV - USD.CASH,USD,EASYGE,3.08
INAV - ZAR.CASH,ZAR,EASYGE,0.53
