description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.43
ADV ENERGY INDS,USD,EASYGE,2.81
QUANTA SERVICES,USD,EASYGE,2.74
CAMECO CORP,USD,EASYGE,1.64
CARPENTER TECH,USD,EASYGE,1.97
ELBIT SYSTEMS,USD,EASYGE,1.95
NVIDIA CORP,USD,EASYGE,4.68
GRAHAM CORP,USD,EASYGE,2.64
STMICROELECTR-NY,USD,EASYGE,1.19
ATI INC,USD,EASYGE,1.94
MICRON TECH,USD,EASYGE,5.24
TTM TECHNOLOGIES,USD,EASYGE,1.63
ARGAN INC,USD,EASYGE,4.12
FORMFACTOR INC,USD,EASYGE,4.12
AIXTRON SE,EUR,EASYGE,1.87
INFINEON TECH,EUR,EASYGE,2.63
MONOLITHIC POWER,USD,EASYGE,1.25
CIENA CORP,USD,EASYGE,3.78
INTERACTIVE BROK,USD,EASYGE,1.35
NEBIUS GROUP NV,USD,EASYGE,2.01
KRAKEN ROBOTICS INC,USD,EASYGE,0.44
BLOOM ENERGY C-A,USD,EASYGE,2.67
NLIGHT INC,USD,EASYGE,1.87
Howmet Aerospace Inc,USD,EASYGE,1.65
VERTIV HOLDINGS,USD,EASYGE,2.35
GENERAL ELECTRIC,USD,EASYGE,2.31
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.04
COHERENT CORP,USD,EASYGE,4.03
ROBINHOOD MARK-A,USD,EASYGE,1.03
GE VERNOVA LLC,USD,EASYGE,2.04
KARMAN HOLDINGS INC,USD,EASYGE,0.88
LUMENTUM HOL,USD,EASYGE,6.84
BWX TECHNOLOGIES,USD,EASYGE,0.71
SOITEC Designs,EUR,EASYGE,1.02
INAV - EUR.CASH,EUR,EASYGE,0.11
INAV - USD.CASH,USD,EASYGE,12.2
INAV - ZAR.CASH,ZAR,EASYGE,0.52
