description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.46
ADV ENERGY INDS,USD,EASYGE,3.30
QUANTA SERVICES,USD,EASYGE,2.68
CAMECO CORP,USD,EASYGE,1.70
CARPENTER TECH,USD,EASYGE,2.00
ELBIT SYSTEMS,USD,EASYGE,1.92
NVIDIA CORP,USD,EASYGE,4.48
GRAHAM CORP,USD,EASYGE,2.65
STMICROELECTR-NY,USD,EASYGE,1.58
ALLEGHENY TECH,USD,EASYGE,1.92
MICRON TECH,USD,EASYGE,5.35
TTM TECHNOLOGIES,USD,EASYGE,2.49
ARGAN INC,USD,EASYGE,4.15
FORMFACTOR INC,USD,EASYGE,4.95
AIXTRON SE,EUR,EASYGE,2.83
INFINEON TECH,EUR,EASYGE,3.24
MONOLITHIC POWER,USD,EASYGE,1.37
CIENA CORP,USD,EASYGE,4.11
INTERACTIVE BROK,USD,EASYGE,1.23
NEBIUS GROUP NV,USD,EASYGE,2.26
KRAKEN ROBOTICS INC,USD,EASYGE,0.49
BLOOM ENERGY C-A,USD,EASYGE,5.32
NLIGHT INC,USD,EASYGE,1.80
Howmet Aerospace Inc,USD,EASYGE,1.43
VERTIV HOLDINGS,USD,EASYGE,2.85
GENERAL ELECTRIC,USD,EASYGE,1.99
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.44
COHERENT CORP,USD,EASYGE,5.67
ROBINHOOD MARK-A,USD,EASYGE,1.00
GE VERNOVA LLC,USD,EASYGE,1.77
KARMAN HOLDINGS INC,USD,EASYGE,0.81
LUMENTUM HOL,USD,EASYGE,8.27
BWX TECHNOLOGIES,USD,EASYGE,0.75
SOITEC Designs,EUR,EASYGE,1.23
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,1.72
INAV - ZAR.CASH,ZAR,EASYGE,0.49
