description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.41
ADV ENERGY INDS,USD,EASYGE,3.17
QUANTA SERVICES,USD,EASYGE,2.61
CAMECO CORP,USD,EASYGE,1.72
CARPENTER TECH,USD,EASYGE,1.98
ELBIT SYSTEMS,USD,EASYGE,1.78
NVIDIA CORP,USD,EASYGE,4.31
GRAHAM CORP,USD,EASYGE,2.85
STMICROELECTR-NY,USD,EASYGE,1.45
ALLEGHENY TECH,USD,EASYGE,1.84
MICRON TECH,USD,EASYGE,5.48
TTM TECHNOLOGIES,USD,EASYGE,2.51
ARGAN INC,USD,EASYGE,4.48
FORMFACTOR INC,USD,EASYGE,4.80
AIXTRON SE,EUR,EASYGE,2.88
INFINEON TECH,EUR,EASYGE,3.01
MONOLITHIC POWER,USD,EASYGE,1.21
CIENA CORP,USD,EASYGE,3.89
INTERACTIVE BROK,USD,EASYGE,1.24
NEBIUS GROUP NV,USD,EASYGE,2.63
KRAKEN ROBOTICS INC,USD,EASYGE,0.48
BLOOM ENERGY C-A,USD,EASYGE,5.62
NLIGHT INC,USD,EASYGE,1.61
Howmet Aerospace Inc,USD,EASYGE,1.48
VERTIV HOLDINGS,USD,EASYGE,2.88
GENERAL ELECTRIC,USD,EASYGE,2.04
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.30
COHERENT CORP,USD,EASYGE,5.38
ROBINHOOD MARK-A,USD,EASYGE,1.09
GE VERNOVA LLC,USD,EASYGE,1.91
KARMAN HOLDINGS INC,USD,EASYGE,0.85
LUMENTUM HOL,USD,EASYGE,7.53
BWX TECHNOLOGIES,USD,EASYGE,0.76
SOITEC Designs,EUR,EASYGE,1.08
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,1.66
INAV - ZAR.CASH,ZAR,EASYGE,1.80
