description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.46
ADV ENERGY INDS,USD,EASYGE,3.01
QUANTA SERVICES,USD,EASYGE,2.54
CAMECO CORP,USD,EASYGE,1.54
CARPENTER TECH,USD,EASYGE,2.19
ELBIT SYSTEMS,USD,EASYGE,1.87
NVIDIA CORP,USD,EASYGE,4.67
GRAHAM CORP,USD,EASYGE,2.76
STMICROELECTR-NY,USD,EASYGE,1.12
ATI INC,USD,EASYGE,1.99
MICRON TECH,USD,EASYGE,5.53
TTM TECHNOLOGIES,USD,EASYGE,1.91
ARGAN INC,USD,EASYGE,3.99
FORMFACTOR INC,USD,EASYGE,4.10
AIXTRON SE,EUR,EASYGE,2.01
INFINEON TECH,EUR,EASYGE,2.67
MONOLITHIC POWER,USD,EASYGE,1.24
CIENA CORP,USD,EASYGE,3.85
INTERACTIVE BROK,USD,EASYGE,1.27
NEBIUS GROUP NV,USD,EASYGE,2.20
KRAKEN ROBOTICS INC,USD,EASYGE,0.45
BLOOM ENERGY C-A,USD,EASYGE,2.61
NLIGHT INC,USD,EASYGE,1.94
Howmet Aerospace Inc,USD,EASYGE,1.59
VERTIV HOLDINGS,USD,EASYGE,2.93
GENERAL ELECTRIC,USD,EASYGE,2.12
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.33
COHERENT CORP,USD,EASYGE,4.73
ROBINHOOD MARK-A,USD,EASYGE,1.12
GE VERNOVA LLC,USD,EASYGE,1.99
KARMAN HOLDINGS INC,USD,EASYGE,0.86
LUMENTUM HOL,USD,EASYGE,7.67
BWX TECHNOLOGIES,USD,EASYGE,0.71
SOITEC Designs,EUR,EASYGE,1.05
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,9.23
INAV - ZAR.CASH,ZAR,EASYGE,0.47
