description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYGE,6.18
ADV ENERGY INDS,USD,EASYGE,3.20
QUANTA SERVICES,USD,EASYGE,2.52
CAMECO CORP,USD,EASYGE,1.58
CARPENTER TECH,USD,EASYGE,2.09
ELBIT SYSTEMS,USD,EASYGE,1.65
NVIDIA CORP,USD,EASYGE,4.15
GRAHAM CORP,USD,EASYGE,2.93
STMICROELECTR-NY,USD,EASYGE,1.40
ALLEGHENY TECH,USD,EASYGE,1.80
MICRON TECH,USD,EASYGE,5.42
TTM TECHNOLOGIES,USD,EASYGE,2.23
ARGAN INC,USD,EASYGE,4.76
FORMFACTOR INC,USD,EASYGE,5.04
AIXTRON SE,EUR,EASYGE,2.43
INFINEON TECH,EUR,EASYGE,2.99
MONOLITHIC POWER,USD,EASYGE,1.11
CIENA CORP,USD,EASYGE,4.11
INTERACTIVE BROK,USD,EASYGE,1.21
NEBIUS GROUP NV,USD,EASYGE,2.15
KRAKEN ROBOTICS INC,USD,EASYGE,0.43
BLOOM ENERGY C-A,USD,EASYGE,5.70
NLIGHT INC,USD,EASYGE,1.67
Howmet Aerospace Inc,USD,EASYGE,1.39
VERTIV HOLDINGS,USD,EASYGE,2.82
GENERAL ELECTRIC,USD,EASYGE,2.14
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYGE,3.43
COHERENT CORP,USD,EASYGE,5.23
ROBINHOOD MARK-A,USD,EASYGE,1.13
GE VERNOVA LLC,USD,EASYGE,2.06
KARMAN HOLDINGS INC,USD,EASYGE,0.90
LUMENTUM HOL,USD,EASYGE,6.93
BWX TECHNOLOGIES,USD,EASYGE,0.72
SOITEC Designs,EUR,EASYGE,0.99
INAV - EUR.CASH,EUR,EASYGE,0.10
INAV - USD.CASH,USD,EASYGE,4.72
INAV - ZAR.CASH,ZAR,EASYGE,0.51
