description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.51
ADV ENERGY INDS,USD,EASYAI,3.31
QUANTA SERVICES,USD,EASYAI,2.80
AXT INC,USD,EASYAI,1.66
NVIDIA CORP,USD,EASYAI,5.54
MKS INC,USD,EASYAI,2.13
STMICROELECTR-NY,USD,EASYAI,0.76
INTEL CORP,USD,EASYAI,1.14
ON Semiconductor Corp,USD,EASYAI,1.51
CAMTEK LTD,USD,EASYAI,0.91
MICRON TECH,USD,EASYAI,4.52
TTM TECHNOLOGIES,USD,EASYAI,1.43
ARGAN INC,USD,EASYAI,3.25
FORMFACTOR INC,USD,EASYAI,4.08
VICOR CORP,USD,EASYAI,3.73
AIXTRON SE,EUR,EASYAI,1.59
INFINEON TECH,EUR,EASYAI,2.50
MONOLITHIC POWER,USD,EASYAI,0.82
CIENA CORP,USD,EASYAI,2.26
FABRINET,USD,EASYAI,2.86
NEBIUS GROUP NV,USD,EASYAI,2.15
SUSS MICROTEC SE,EUR,EASYAI,1.33
BLOOM ENERGY C-A,USD,EASYAI,2.90
ONTO INNOVATION,USD,EASYAI,2.54
VERTIV HOLDINGS,USD,EASYAI,1.65
GENERAL ELECTRIC,USD,EASYAI,1.76
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.96
ASTERA LABS INC,USD,EASYAI,1.97
APPLOVIN CO-CL A,USD,EASYAI,1.11
COHERENT CORP,USD,EASYAI,4.54
GE VERNOVA LLC,USD,EASYAI,4.26
LUMENTUM HOL,USD,EASYAI,7.43
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,11.3
INAV - ZAR.CASH,ZAR,EASYAI,0.44
