description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.57
ADV ENERGY INDS,USD,EASYAI,3.25
QUANTA SERVICES,USD,EASYAI,2.58
AXT INC,USD,EASYAI,1.52
NVIDIA CORP,USD,EASYAI,4.51
MKS INC,USD,EASYAI,2.33
STMICROELECTR-NY,USD,EASYAI,0.93
INTEL CORP,USD,EASYAI,1.34
ON Semiconductor Corp,USD,EASYAI,2.03
CAMTEK LTD,USD,EASYAI,0.93
MICRON TECH,USD,EASYAI,4.76
TTM TECHNOLOGIES,USD,EASYAI,2.06
ARGAN INC,USD,EASYAI,3.55
FORMFACTOR INC,USD,EASYAI,4.52
VICOR CORP,USD,EASYAI,4.93
AIXTRON SE,EUR,EASYAI,1.95
INFINEON TECH,EUR,EASYAI,2.92
MONOLITHIC POWER,USD,EASYAI,0.78
CIENA CORP,USD,EASYAI,2.29
FABRINET,USD,EASYAI,2.79
NEBIUS GROUP NV,USD,EASYAI,2.29
SUSS MICROTEC SE,EUR,EASYAI,1.39
BLOOM ENERGY C-A,USD,EASYAI,6.19
ONTO INNOVATION,USD,EASYAI,2.65
VERTIV HOLDINGS,USD,EASYAI,1.68
GENERAL ELECTRIC,USD,EASYAI,1.51
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.18
ASTERA LABS INC,USD,EASYAI,2.22
APPLOVIN CO-CL A,USD,EASYAI,1.11
COHERENT CORP,USD,EASYAI,4.86
GE VERNOVA LLC,USD,EASYAI,3.97
LUMENTUM HOL,USD,EASYAI,6.79
INAV - EUR.CASH,EUR,EASYAI,0.10
INAV - USD.CASH,USD,EASYAI,0.04
INAV - ZAR.CASH,ZAR,EASYAI,5.30
