description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.58
ADV ENERGY INDS,USD,EASYAI,3.08
QUANTA SERVICES,USD,EASYAI,2.79
AXT INC,USD,EASYAI,2.45
NVIDIA CORP,USD,EASYAI,5.16
MKS INC,USD,EASYAI,2.17
STMICROELECTR-NY,USD,EASYAI,1.10
ON Semiconductor Corp,USD,EASYAI,2.49
CAMTEK LTD,USD,EASYAI,1.08
MICRON TECH,USD,EASYAI,5.19
TTM TECHNOLOGIES,USD,EASYAI,1.97
ARGAN INC,USD,EASYAI,3.53
FORMFACTOR INC,USD,EASYAI,4.27
VICOR CORP,USD,EASYAI,5.35
AIXTRON SE,EUR,EASYAI,2.39
INFINEON TECH,EUR,EASYAI,3.50
MONOLITHIC POWER,USD,EASYAI,0.98
CIENA CORP,USD,EASYAI,3.25
FABRINET,USD,EASYAI,3.77
NEBIUS GROUP NV,USD,EASYAI,2.35
SUSS MICROTEC SE,EUR,EASYAI,1.50
BLOOM ENERGY C-A,USD,EASYAI,5.77
ONTO INNOVATION,USD,EASYAI,2.44
VERTIV HOLDINGS,USD,EASYAI,1.87
GENERAL ELECTRIC,USD,EASYAI,1.38
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.68
IREN LTD,USD,EASYAI,1.44
APPLOVIN CO-CL A,USD,EASYAI,1.45
COHERENT CORP,USD,EASYAI,5.48
GE VERNOVA LLC,USD,EASYAI,3.81
LUMENTUM HOL,USD,EASYAI,8.01
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,0.01
INAV - ZAR.CASH,ZAR,EASYAI,0.46
