description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.79
ADV ENERGY INDS,USD,EASYAI,3.24
QUANTA SERVICES,USD,EASYAI,2.94
AXT INC,USD,EASYAI,3.37
NVIDIA CORP,USD,EASYAI,5.40
MKS INC,USD,EASYAI,2.16
STMICROELECTR-NY,USD,EASYAI,0.96
ON Semiconductor Corp,USD,EASYAI,2.26
CAMTEK LTD,USD,EASYAI,1.03
MICRON TECH,USD,EASYAI,3.77
TTM TECHNOLOGIES,USD,EASYAI,2.06
ARGAN INC,USD,EASYAI,3.52
FORMFACTOR INC,USD,EASYAI,4.56
VICOR CORP,USD,EASYAI,4.53
INFINEON TECH,EUR,EASYAI,2.21
MONOLITHIC POWER,USD,EASYAI,0.96
CIENA CORP,USD,EASYAI,3.20
FABRINET,USD,EASYAI,3.82
NEBIUS GROUP NV,USD,EASYAI,2.09
BLOOM ENERGY C-A,USD,EASYAI,6.34
ONTO INNOVATION,USD,EASYAI,2.39
VERTIV HOLDINGS,USD,EASYAI,1.92
GENERAL ELECTRIC,USD,EASYAI,1.38
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.85
IREN LTD,USD,EASYAI,1.31
APPLOVIN CO-CL A,USD,EASYAI,1.27
COHERENT CORP,USD,EASYAI,5.17
GE VERNOVA LLC,USD,EASYAI,4.31
LUMENTUM HOL,USD,EASYAI,8.44
INAV - EUR.CASH,EUR,EASYAI,0.07
INAV - USD.CASH,USD,EASYAI,2.74
INAV - ZAR.CASH,ZAR,EASYAI,2.78
