description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.62
ADV ENERGY INDS,USD,EASYAI,3.09
QUANTA SERVICES,USD,EASYAI,2.90
AXT INC,USD,EASYAI,2.92
NVIDIA CORP,USD,EASYAI,7.42
MKS INC,USD,EASYAI,2.00
INTEL CORP,USD,EASYAI,2.16
ON Semiconductor Corp,USD,EASYAI,3.00
CAMTEK LTD,USD,EASYAI,2.07
MICRON TECH,USD,EASYAI,4.94
TTM TECHNOLOGIES,USD,EASYAI,1.33
ARGAN INC,USD,EASYAI,2.98
TERADYNE INC,USD,EASYAI,3.06
FORMFACTOR INC,USD,EASYAI,4.84
VICOR CORP,USD,EASYAI,3.86
AIXTRON SE,EUR,EASYAI,1.63
MONOLITHIC POWER,USD,EASYAI,2.00
CIENA CORP,USD,EASYAI,2.30
FABRINET,USD,EASYAI,2.59
NEBIUS GROUP NV,USD,EASYAI,2.29
SUSS MICROTEC SE,EUR,EASYAI,1.30
BLOOM ENERGY C-A,USD,EASYAI,3.59
ONTO INNOVATION,USD,EASYAI,3.67
VERTIV HOLDINGS,USD,EASYAI,1.61
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.22
ASTERA LABS INC,USD,EASYAI,2.84
COHERENT CORP,USD,EASYAI,4.14
GE VERNOVA LLC,USD,EASYAI,4.30
LUMENTUM HOL,USD,EASYAI,7.75
INAV - USD.CASH,USD,EASYAI,3.00
INAV - ZAR.CASH,ZAR,EASYAI,0.43
