description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.71
ADV ENERGY INDS,USD,EASYAI,3.45
QUANTA SERVICES,USD,EASYAI,2.71
AXT INC,USD,EASYAI,1.77
NVIDIA CORP,USD,EASYAI,4.75
MKS INC,USD,EASYAI,2.49
STMICROELECTR-NY,USD,EASYAI,0.99
INTEL CORP,USD,EASYAI,1.41
ON Semiconductor Corp,USD,EASYAI,2.15
CAMTEK LTD,USD,EASYAI,0.99
MICRON TECH,USD,EASYAI,5.00
TTM TECHNOLOGIES,USD,EASYAI,2.19
ARGAN INC,USD,EASYAI,3.74
FORMFACTOR INC,USD,EASYAI,4.78
VICOR CORP,USD,EASYAI,5.38
AIXTRON SE,EUR,EASYAI,2.13
INFINEON TECH,EUR,EASYAI,3.10
MONOLITHIC POWER,USD,EASYAI,0.81
CIENA CORP,USD,EASYAI,2.38
FABRINET,USD,EASYAI,3.00
NEBIUS GROUP NV,USD,EASYAI,2.54
SUSS MICROTEC SE,EUR,EASYAI,1.51
BLOOM ENERGY C-A,USD,EASYAI,6.40
ONTO INNOVATION,USD,EASYAI,2.73
VERTIV HOLDINGS,USD,EASYAI,1.77
GENERAL ELECTRIC,USD,EASYAI,1.54
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.36
ASTERA LABS INC,USD,EASYAI,2.31
APPLOVIN CO-CL A,USD,EASYAI,1.17
COHERENT CORP,USD,EASYAI,4.95
GE VERNOVA LLC,USD,EASYAI,4.07
LUMENTUM HOL,USD,EASYAI,6.99
INAV - EUR.CASH,EUR,EASYAI,0.10
INAV - USD.CASH,USD,EASYAI,0.04
INAV - ZAR.CASH,ZAR,EASYAI,0.41
