description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.46
ADV ENERGY INDS,USD,EASYAI,2.99
QUANTA SERVICES,USD,EASYAI,2.77
AXT INC,USD,EASYAI,2.40
NVIDIA CORP,USD,EASYAI,8.12
MKS INC,USD,EASYAI,1.89
INTEL CORP,USD,EASYAI,2.22
ON Semiconductor Corp,USD,EASYAI,3.01
CAMTEK LTD,USD,EASYAI,1.93
MICRON TECH,USD,EASYAI,5.35
TTM TECHNOLOGIES,USD,EASYAI,1.40
ARGAN INC,USD,EASYAI,2.45
TERADYNE INC,USD,EASYAI,2.92
FORMFACTOR INC,USD,EASYAI,4.32
VICOR CORP,USD,EASYAI,3.42
AIXTRON SE,EUR,EASYAI,1.65
MONOLITHIC POWER,USD,EASYAI,1.99
CIENA CORP,USD,EASYAI,2.16
FABRINET,USD,EASYAI,2.39
NEBIUS GROUP NV,USD,EASYAI,2.22
SUSS MICROTEC SE,EUR,EASYAI,1.28
BLOOM ENERGY C-A,USD,EASYAI,4.01
ONTO INNOVATION,USD,EASYAI,3.31
VERTIV HOLDINGS,USD,EASYAI,1.68
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.40
ASTERA LABS INC,USD,EASYAI,2.86
COHERENT CORP,USD,EASYAI,4.10
GE VERNOVA LLC,USD,EASYAI,4.26
LUMENTUM HOL,USD,EASYAI,8.66
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.74
INAV - ZAR.CASH,ZAR,EASYAI,0.48
