description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.94
ADV ENERGY INDS,USD,EASYAI,3.08
QUANTA SERVICES,USD,EASYAI,2.85
AXT INC,USD,EASYAI,2.19
NVIDIA CORP,USD,EASYAI,5.28
MKS INC,USD,EASYAI,2.13
STMICROELECTR-NY,USD,EASYAI,1.09
ON Semiconductor Corp,USD,EASYAI,2.37
CAMTEK LTD,USD,EASYAI,1.05
MICRON TECH,USD,EASYAI,4.81
TTM TECHNOLOGIES,USD,EASYAI,1.95
ARGAN INC,USD,EASYAI,3.35
FORMFACTOR INC,USD,EASYAI,4.43
VICOR CORP,USD,EASYAI,4.69
AIXTRON SE,EUR,EASYAI,2.35
INFINEON TECH,EUR,EASYAI,3.26
MONOLITHIC POWER,USD,EASYAI,0.95
CIENA CORP,USD,EASYAI,2.58
FABRINET,USD,EASYAI,3.41
NEBIUS GROUP NV,USD,EASYAI,2.14
SUSS MICROTEC SE,EUR,EASYAI,1.48
BLOOM ENERGY C-A,USD,EASYAI,5.36
ONTO INNOVATION,USD,EASYAI,2.47
VERTIV HOLDINGS,USD,EASYAI,1.78
GENERAL ELECTRIC,USD,EASYAI,1.49
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.93
IREN LTD,USD,EASYAI,1.37
APPLOVIN CO-CL A,USD,EASYAI,1.50
COHERENT CORP,USD,EASYAI,5.55
GE VERNOVA LLC,USD,EASYAI,3.91
LUMENTUM HOL,USD,EASYAI,8.05
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,2.46
INAV - ZAR.CASH,ZAR,EASYAI,0.48
