description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.05
ADV ENERGY INDS,USD,EASYAI,2.79
QUANTA SERVICES,USD,EASYAI,2.59
AXT INC,USD,EASYAI,2.76
NVIDIA CORP,USD,EASYAI,7.33
MKS INC,USD,EASYAI,1.78
INTEL CORP,USD,EASYAI,2.72
ON Semiconductor Corp,USD,EASYAI,2.77
CAMTEK LTD,USD,EASYAI,1.93
MICRON TECH,USD,EASYAI,5.39
TTM TECHNOLOGIES,USD,EASYAI,1.37
ARGAN INC,USD,EASYAI,2.01
TERADYNE INC,USD,EASYAI,2.99
FORMFACTOR INC,USD,EASYAI,5.27
VICOR CORP,USD,EASYAI,4.80
AIXTRON SE,EUR,EASYAI,1.47
MONOLITHIC POWER,USD,EASYAI,1.99
CIENA CORP,USD,EASYAI,1.95
FABRINET,USD,EASYAI,2.18
NEBIUS GROUP NV,USD,EASYAI,2.21
SUSS MICROTEC SE,EUR,EASYAI,1.19
BLOOM ENERGY C-A,USD,EASYAI,4.56
ONTO INNOVATION,USD,EASYAI,3.30
VERTIV HOLDINGS,USD,EASYAI,1.46
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.53
ASTERA LABS INC,USD,EASYAI,3.37
COHERENT CORP,USD,EASYAI,4.13
GE VERNOVA LLC,USD,EASYAI,3.96
LUMENTUM HOL,USD,EASYAI,8.37
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.26
INAV - ZAR.CASH,ZAR,EASYAI,0.37
