description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.45
ADV ENERGY INDS,USD,EASYAI,2.98
QUANTA SERVICES,USD,EASYAI,2.78
AXT INC,USD,EASYAI,2.37
NVIDIA CORP,USD,EASYAI,7.88
MKS INC,USD,EASYAI,1.86
INTEL CORP,USD,EASYAI,2.20
ON Semiconductor Corp,USD,EASYAI,3.03
CAMTEK LTD,USD,EASYAI,1.88
MICRON TECH,USD,EASYAI,5.24
TTM TECHNOLOGIES,USD,EASYAI,1.40
ARGAN INC,USD,EASYAI,2.43
TERADYNE INC,USD,EASYAI,2.88
FORMFACTOR INC,USD,EASYAI,4.28
VICOR CORP,USD,EASYAI,3.32
AIXTRON SE,EUR,EASYAI,1.62
MONOLITHIC POWER,USD,EASYAI,2.00
CIENA CORP,USD,EASYAI,2.21
FABRINET,USD,EASYAI,2.44
NEBIUS GROUP NV,USD,EASYAI,2.17
SUSS MICROTEC SE,EUR,EASYAI,1.29
BLOOM ENERGY C-A,USD,EASYAI,3.95
ONTO INNOVATION,USD,EASYAI,3.35
VERTIV HOLDINGS,USD,EASYAI,1.68
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.02
ASTERA LABS INC,USD,EASYAI,2.92
COHERENT CORP,USD,EASYAI,4.17
GE VERNOVA LLC,USD,EASYAI,4.17
LUMENTUM HOL,USD,EASYAI,8.66
INAV - USD.CASH,USD,EASYAI,4.75
INAV - ZAR.CASH,ZAR,EASYAI,0.48
