description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.21
ADV ENERGY INDS,USD,EASYAI,2.85
QUANTA SERVICES,USD,EASYAI,2.66
AXT INC,USD,EASYAI,1.38
NVIDIA CORP,USD,EASYAI,4.91
MKS INC,USD,EASYAI,2.35
STMICROELECTR-NY,USD,EASYAI,0.96
INTEL CORP,USD,EASYAI,1.23
ON Semiconductor Corp,USD,EASYAI,1.76
CAMTEK LTD,USD,EASYAI,0.81
MICRON TECH,USD,EASYAI,4.68
TTM TECHNOLOGIES,USD,EASYAI,1.55
ARGAN INC,USD,EASYAI,3.53
FORMFACTOR INC,USD,EASYAI,3.72
VICOR CORP,USD,EASYAI,4.32
AIXTRON SE,EUR,EASYAI,1.78
INFINEON TECH,EUR,EASYAI,2.88
MONOLITHIC POWER,USD,EASYAI,0.76
CIENA CORP,USD,EASYAI,2.28
FABRINET,USD,EASYAI,2.52
NEBIUS GROUP NV,USD,EASYAI,1.89
SUSS MICROTEC SE,EUR,EASYAI,1.27
BLOOM ENERGY C-A,USD,EASYAI,5.62
ONTO INNOVATION,USD,EASYAI,2.53
VERTIV HOLDINGS,USD,EASYAI,1.79
GENERAL ELECTRIC,USD,EASYAI,1.67
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.20
ASTERA LABS INC,USD,EASYAI,2.34
APPLOVIN CO-CL A,USD,EASYAI,1.39
COHERENT CORP,USD,EASYAI,4.28
GE VERNOVA LLC,USD,EASYAI,4.44
LUMENTUM HOL,USD,EASYAI,6.19
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,7.16
INAV - ZAR.CASH,ZAR,EASYAI,2.82
