description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.79
ADV ENERGY INDS,USD,EASYAI,3.14
QUANTA SERVICES,USD,EASYAI,2.65
AXT INC,USD,EASYAI,1.26
NVIDIA CORP,USD,EASYAI,5.22
MKS INC,USD,EASYAI,2.33
STMICROELECTR-NY,USD,EASYAI,0.77
INTEL CORP,USD,EASYAI,1.12
ON Semiconductor Corp,USD,EASYAI,1.75
CAMTEK LTD,USD,EASYAI,0.95
MICRON TECH,USD,EASYAI,4.96
TTM TECHNOLOGIES,USD,EASYAI,1.57
ARGAN INC,USD,EASYAI,3.22
FORMFACTOR INC,USD,EASYAI,3.98
VICOR CORP,USD,EASYAI,3.90
AIXTRON SE,EUR,EASYAI,1.63
INFINEON TECH,EUR,EASYAI,2.66
MONOLITHIC POWER,USD,EASYAI,0.84
CIENA CORP,USD,EASYAI,2.23
FABRINET,USD,EASYAI,2.80
NEBIUS GROUP NV,USD,EASYAI,2.15
SUSS MICROTEC SE,EUR,EASYAI,1.32
BLOOM ENERGY C-A,USD,EASYAI,2.66
ONTO INNOVATION,USD,EASYAI,2.65
VERTIV HOLDINGS,USD,EASYAI,1.78
GENERAL ELECTRIC,USD,EASYAI,1.59
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.08
ASTERA LABS INC,USD,EASYAI,2.00
APPLOVIN CO-CL A,USD,EASYAI,1.05
COHERENT CORP,USD,EASYAI,4.28
GE VERNOVA LLC,USD,EASYAI,4.27
LUMENTUM HOL,USD,EASYAI,7.42
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,11.2
INAV - ZAR.CASH,ZAR,EASYAI,0.46
