description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.87
ADV ENERGY INDS,USD,EASYAI,3.07
QUANTA SERVICES,USD,EASYAI,2.78
AXT INC,USD,EASYAI,1.08
NVIDIA CORP,USD,EASYAI,5.80
MKS INC,USD,EASYAI,2.12
STMICROELECTR-NY,USD,EASYAI,0.85
INTEL CORP,USD,EASYAI,1.12
ON Semiconductor Corp,USD,EASYAI,1.87
CAMTEK LTD,USD,EASYAI,0.95
MICRON TECH,USD,EASYAI,4.52
TTM TECHNOLOGIES,USD,EASYAI,1.34
ARGAN INC,USD,EASYAI,3.21
FORMFACTOR INC,USD,EASYAI,3.59
VICOR CORP,USD,EASYAI,3.76
AIXTRON SE,EUR,EASYAI,1.65
INFINEON TECH,EUR,EASYAI,2.70
MONOLITHIC POWER,USD,EASYAI,0.92
CIENA CORP,USD,EASYAI,2.20
FABRINET,USD,EASYAI,2.74
NEBIUS GROUP NV,USD,EASYAI,1.76
SUSS MICROTEC SE,EUR,EASYAI,1.39
BLOOM ENERGY C-A,USD,EASYAI,2.44
ONTO INNOVATION,USD,EASYAI,2.42
VERTIV HOLDINGS,USD,EASYAI,1.60
GENERAL ELECTRIC,USD,EASYAI,1.95
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.82
ASTERA LABS INC,USD,EASYAI,1.87
APPLOVIN CO-CL A,USD,EASYAI,1.29
COHERENT CORP,USD,EASYAI,3.70
GE VERNOVA LLC,USD,EASYAI,4.55
LUMENTUM HOL,USD,EASYAI,6.54
INAV - EUR.CASH,EUR,EASYAI,0.14
INAV - USD.CASH,USD,EASYAI,13.6
INAV - ZAR.CASH,ZAR,EASYAI,0.54
