description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.23
ADV ENERGY INDS,USD,EASYAI,2.96
QUANTA SERVICES,USD,EASYAI,2.65
AXT INC,USD,EASYAI,2.70
NVIDIA CORP,USD,EASYAI,7.53
MKS INC,USD,EASYAI,1.88
INTEL CORP,USD,EASYAI,2.44
ON Semiconductor Corp,USD,EASYAI,2.75
CAMTEK LTD,USD,EASYAI,2.02
MICRON TECH,USD,EASYAI,5.36
TTM TECHNOLOGIES,USD,EASYAI,1.40
ARGAN INC,USD,EASYAI,2.24
TERADYNE INC,USD,EASYAI,3.06
FORMFACTOR INC,USD,EASYAI,4.75
VICOR CORP,USD,EASYAI,3.22
AIXTRON SE,EUR,EASYAI,1.63
MONOLITHIC POWER,USD,EASYAI,1.83
CIENA CORP,USD,EASYAI,1.92
FABRINET,USD,EASYAI,2.36
NEBIUS GROUP NV,USD,EASYAI,2.43
SUSS MICROTEC SE,EUR,EASYAI,1.29
BLOOM ENERGY C-A,USD,EASYAI,4.62
ONTO INNOVATION,USD,EASYAI,3.37
VERTIV HOLDINGS,USD,EASYAI,1.60
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.27
ASTERA LABS INC,USD,EASYAI,2.91
COHERENT CORP,USD,EASYAI,4.32
GE VERNOVA LLC,USD,EASYAI,4.10
LUMENTUM HOL,USD,EASYAI,9.16
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.42
INAV - ZAR.CASH,ZAR,EASYAI,0.43
