description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.24
ADV ENERGY INDS,USD,EASYAI,2.94
QUANTA SERVICES,USD,EASYAI,2.56
AXT INC,USD,EASYAI,1.31
NVIDIA CORP,USD,EASYAI,5.06
MKS INC,USD,EASYAI,2.38
STMICROELECTR-NY,USD,EASYAI,0.98
INTEL CORP,USD,EASYAI,1.18
ON Semiconductor Corp,USD,EASYAI,1.78
CAMTEK LTD,USD,EASYAI,0.85
MICRON TECH,USD,EASYAI,4.70
TTM TECHNOLOGIES,USD,EASYAI,1.52
ARGAN INC,USD,EASYAI,3.23
FORMFACTOR INC,USD,EASYAI,3.98
VICOR CORP,USD,EASYAI,4.40
AIXTRON SE,EUR,EASYAI,1.70
INFINEON TECH,EUR,EASYAI,2.83
MONOLITHIC POWER,USD,EASYAI,0.78
CIENA CORP,USD,EASYAI,2.41
FABRINET,USD,EASYAI,2.45
NEBIUS GROUP NV,USD,EASYAI,2.05
SUSS MICROTEC SE,EUR,EASYAI,1.35
BLOOM ENERGY C-A,USD,EASYAI,4.91
ONTO INNOVATION,USD,EASYAI,2.80
VERTIV HOLDINGS,USD,EASYAI,1.79
GENERAL ELECTRIC,USD,EASYAI,1.57
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.22
ASTERA LABS INC,USD,EASYAI,2.43
APPLOVIN CO-CL A,USD,EASYAI,1.28
COHERENT CORP,USD,EASYAI,4.25
GE VERNOVA LLC,USD,EASYAI,4.33
LUMENTUM HOL,USD,EASYAI,6.84
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,9.10
INAV - ZAR.CASH,ZAR,EASYAI,0.49
