description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.63
ADV ENERGY INDS,USD,EASYAI,2.83
QUANTA SERVICES,USD,EASYAI,2.83
AXT INC,USD,EASYAI,2.47
NVIDIA CORP,USD,EASYAI,7.79
MKS INC,USD,EASYAI,1.77
INTEL CORP,USD,EASYAI,2.43
ON Semiconductor Corp,USD,EASYAI,3.09
CAMTEK LTD,USD,EASYAI,2.00
MICRON TECH,USD,EASYAI,5.27
TTM TECHNOLOGIES,USD,EASYAI,1.38
ARGAN INC,USD,EASYAI,2.36
TERADYNE INC,USD,EASYAI,2.89
FORMFACTOR INC,USD,EASYAI,4.62
VICOR CORP,USD,EASYAI,3.52
AIXTRON SE,EUR,EASYAI,1.55
MONOLITHIC POWER,USD,EASYAI,1.89
CIENA CORP,USD,EASYAI,2.07
FABRINET,USD,EASYAI,2.30
NEBIUS GROUP NV,USD,EASYAI,2.29
SUSS MICROTEC SE,EUR,EASYAI,1.22
BLOOM ENERGY C-A,USD,EASYAI,4.86
ONTO INNOVATION,USD,EASYAI,3.23
VERTIV HOLDINGS,USD,EASYAI,1.56
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.22
ASTERA LABS INC,USD,EASYAI,2.67
COHERENT CORP,USD,EASYAI,4.21
GE VERNOVA LLC,USD,EASYAI,4.15
LUMENTUM HOL,USD,EASYAI,8.47
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.82
INAV - ZAR.CASH,ZAR,EASYAI,0.45
