description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.88
ADV ENERGY INDS,USD,EASYAI,3.09
QUANTA SERVICES,USD,EASYAI,2.89
AXT INC,USD,EASYAI,1.72
NVIDIA CORP,USD,EASYAI,5.42
MKS INC,USD,EASYAI,2.19
STMICROELECTR-NY,USD,EASYAI,0.78
INTEL CORP,USD,EASYAI,1.07
ON Semiconductor Corp,USD,EASYAI,1.63
CAMTEK LTD,USD,EASYAI,0.90
MICRON TECH,USD,EASYAI,4.35
TTM TECHNOLOGIES,USD,EASYAI,1.37
ARGAN INC,USD,EASYAI,3.32
FORMFACTOR INC,USD,EASYAI,4.02
VICOR CORP,USD,EASYAI,3.77
AIXTRON SE,EUR,EASYAI,1.61
INFINEON TECH,EUR,EASYAI,2.65
MONOLITHIC POWER,USD,EASYAI,0.85
CIENA CORP,USD,EASYAI,2.24
FABRINET,USD,EASYAI,2.59
NEBIUS GROUP NV,USD,EASYAI,2.17
SUSS MICROTEC SE,EUR,EASYAI,1.31
BLOOM ENERGY C-A,USD,EASYAI,2.80
ONTO INNOVATION,USD,EASYAI,2.56
VERTIV HOLDINGS,USD,EASYAI,1.62
GENERAL ELECTRIC,USD,EASYAI,1.77
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.98
ASTERA LABS INC,USD,EASYAI,2.06
APPLOVIN CO-CL A,USD,EASYAI,1.12
COHERENT CORP,USD,EASYAI,4.13
GE VERNOVA LLC,USD,EASYAI,4.37
LUMENTUM HOL,USD,EASYAI,7.27
INAV - EUR.CASH,EUR,EASYAI,0.12
INAV - USD.CASH,USD,EASYAI,11.7
INAV - ZAR.CASH,ZAR,EASYAI,0.46
