description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,7.75
ADV ENERGY INDS,USD,EASYAI,3.81
AMPHENOL CORP,USD,EASYAI,1.99
QUANTA SERVICES,USD,EASYAI,3.24
AXT INC,USD,EASYAI,2.98
NVIDIA CORP,USD,EASYAI,5.77
MKS INC,USD,EASYAI,2.26
CAMTEK LTD,USD,EASYAI,2.73
MICRON TECH,USD,EASYAI,4.00
ARGAN INC,USD,EASYAI,3.90
FORMFACTOR INC,USD,EASYAI,5.59
VICOR CORP,USD,EASYAI,4.63
CIENA CORP,USD,EASYAI,3.21
FABRINET,USD,EASYAI,3.60
NEBIUS GROUP NV,USD,EASYAI,1.84
META PLATFORMS-A,USD,EASYAI,2.33
BLOOM ENERGY C-A,USD,EASYAI,5.85
AXON ENTERPRISE,USD,EASYAI,0.88
ONTO INNOVATION,USD,EASYAI,2.77
VERTIV HOLDINGS,USD,EASYAI,2.14
GENERAL ELECTRIC,USD,EASYAI,1.45
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.63
IREN LTD,USD,EASYAI,1.50
APPLOVIN CO-CL A,USD,EASYAI,1.32
COHERENT CORP,USD,EASYAI,4.91
GE VERNOVA LLC,USD,EASYAI,4.61
KARMAN HOLDINGS INC,USD,EASYAI,0.80
LUMENTUM HOL,USD,EASYAI,8.61
BWX TECHNOLOGIES,USD,EASYAI,2.30
INAV - USD.CASH,USD,EASYAI,0.00
INAV - ZAR.CASH,ZAR,EASYAI,0.44
