description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.41
ADV ENERGY INDS,USD,EASYAI,2.96
QUANTA SERVICES,USD,EASYAI,2.61
AXT INC,USD,EASYAI,1.34
NVIDIA CORP,USD,EASYAI,5.16
MKS INC,USD,EASYAI,2.35
STMICROELECTR-NY,USD,EASYAI,0.98
INTEL CORP,USD,EASYAI,1.18
ON Semiconductor Corp,USD,EASYAI,1.77
CAMTEK LTD,USD,EASYAI,0.89
MICRON TECH,USD,EASYAI,4.80
TTM TECHNOLOGIES,USD,EASYAI,1.50
ARGAN INC,USD,EASYAI,3.23
FORMFACTOR INC,USD,EASYAI,4.00
VICOR CORP,USD,EASYAI,4.34
AIXTRON SE,EUR,EASYAI,1.74
INFINEON TECH,EUR,EASYAI,2.86
MONOLITHIC POWER,USD,EASYAI,0.81
CIENA CORP,USD,EASYAI,2.38
FABRINET,USD,EASYAI,2.54
NEBIUS GROUP NV,USD,EASYAI,1.84
SUSS MICROTEC SE,EUR,EASYAI,1.42
BLOOM ENERGY C-A,USD,EASYAI,4.96
ONTO INNOVATION,USD,EASYAI,2.83
VERTIV HOLDINGS,USD,EASYAI,1.73
GENERAL ELECTRIC,USD,EASYAI,1.57
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.00
ASTERA LABS INC,USD,EASYAI,2.16
APPLOVIN CO-CL A,USD,EASYAI,1.15
COHERENT CORP,USD,EASYAI,4.14
GE VERNOVA LLC,USD,EASYAI,4.30
LUMENTUM HOL,USD,EASYAI,7.06
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,9.24
INAV - ZAR.CASH,ZAR,EASYAI,0.48
