description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.38
ADV ENERGY INDS,USD,EASYAI,2.99
QUANTA SERVICES,USD,EASYAI,2.71
AXT INC,USD,EASYAI,2.49
NVIDIA CORP,USD,EASYAI,7.97
MKS INC,USD,EASYAI,1.88
INTEL CORP,USD,EASYAI,2.26
ON Semiconductor Corp,USD,EASYAI,2.96
CAMTEK LTD,USD,EASYAI,2.04
MICRON TECH,USD,EASYAI,5.45
TTM TECHNOLOGIES,USD,EASYAI,1.45
ARGAN INC,USD,EASYAI,2.39
TERADYNE INC,USD,EASYAI,2.93
FORMFACTOR INC,USD,EASYAI,4.45
VICOR CORP,USD,EASYAI,3.40
AIXTRON SE,EUR,EASYAI,1.60
MONOLITHIC POWER,USD,EASYAI,1.91
CIENA CORP,USD,EASYAI,1.87
FABRINET,USD,EASYAI,2.36
NEBIUS GROUP NV,USD,EASYAI,2.35
SUSS MICROTEC SE,EUR,EASYAI,1.30
BLOOM ENERGY C-A,USD,EASYAI,4.46
ONTO INNOVATION,USD,EASYAI,3.34
VERTIV HOLDINGS,USD,EASYAI,1.76
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.38
ASTERA LABS INC,USD,EASYAI,3.09
COHERENT CORP,USD,EASYAI,4.12
GE VERNOVA LLC,USD,EASYAI,4.17
LUMENTUM HOL,USD,EASYAI,8.39
INAV - EUR.CASH,EUR,EASYAI,0.00
INAV - USD.CASH,USD,EASYAI,4.54
INAV - ZAR.CASH,ZAR,EASYAI,0.46
