description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.56
ADV ENERGY INDS,USD,EASYAI,3.02
QUANTA SERVICES,USD,EASYAI,2.59
AXT INC,USD,EASYAI,1.35
NVIDIA CORP,USD,EASYAI,5.18
MKS INC,USD,EASYAI,2.32
STMICROELECTR-NY,USD,EASYAI,0.94
INTEL CORP,USD,EASYAI,1.18
ON Semiconductor Corp,USD,EASYAI,1.76
CAMTEK LTD,USD,EASYAI,0.96
MICRON TECH,USD,EASYAI,4.85
TTM TECHNOLOGIES,USD,EASYAI,1.59
ARGAN INC,USD,EASYAI,3.23
FORMFACTOR INC,USD,EASYAI,4.01
VICOR CORP,USD,EASYAI,3.61
AIXTRON SE,EUR,EASYAI,1.72
INFINEON TECH,EUR,EASYAI,2.74
MONOLITHIC POWER,USD,EASYAI,0.83
CIENA CORP,USD,EASYAI,2.23
FABRINET,USD,EASYAI,2.85
NEBIUS GROUP NV,USD,EASYAI,2.11
SUSS MICROTEC SE,EUR,EASYAI,1.39
BLOOM ENERGY C-A,USD,EASYAI,2.76
ONTO INNOVATION,USD,EASYAI,2.71
VERTIV HOLDINGS,USD,EASYAI,1.78
GENERAL ELECTRIC,USD,EASYAI,1.55
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.91
ASTERA LABS INC,USD,EASYAI,1.95
APPLOVIN CO-CL A,USD,EASYAI,1.13
COHERENT CORP,USD,EASYAI,4.33
GE VERNOVA LLC,USD,EASYAI,4.46
LUMENTUM HOL,USD,EASYAI,7.44
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,11.2
INAV - ZAR.CASH,ZAR,EASYAI,0.47
