description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,7.49
ADV ENERGY INDS,USD,EASYAI,3.40
AMPHENOL CORP,USD,EASYAI,1.86
QUANTA SERVICES,USD,EASYAI,3.14
AXT INC,USD,EASYAI,2.72
NVIDIA CORP,USD,EASYAI,5.84
MKS INC,USD,EASYAI,2.09
CAMTEK LTD,USD,EASYAI,2.10
MICRON TECH,USD,EASYAI,3.85
ARGAN INC,USD,EASYAI,3.93
FORMFACTOR INC,USD,EASYAI,4.47
VICOR CORP,USD,EASYAI,4.85
CIENA CORP,USD,EASYAI,3.20
FABRINET,USD,EASYAI,4.00
NEBIUS GROUP NV,USD,EASYAI,2.13
META PLATFORMS-A,USD,EASYAI,2.19
BLOOM ENERGY C-A,USD,EASYAI,6.29
AXON ENTERPRISE,USD,EASYAI,0.79
ONTO INNOVATION,USD,EASYAI,2.49
VERTIV HOLDINGS,USD,EASYAI,2.19
GENERAL ELECTRIC,USD,EASYAI,1.32
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.38
IREN LTD,USD,EASYAI,1.33
APPLOVIN CO-CL A,USD,EASYAI,1.27
COHERENT CORP,USD,EASYAI,5.48
GE VERNOVA LLC,USD,EASYAI,4.47
KARMAN HOLDINGS INC,USD,EASYAI,0.80
LUMENTUM HOL,USD,EASYAI,8.82
BWX TECHNOLOGIES,USD,EASYAI,2.19
INAV - USD.CASH,USD,EASYAI,0.00
INAV - ZAR.CASH,ZAR,EASYAI,2.79
