description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.15
ADV ENERGY INDS,USD,EASYAI,2.97
QUANTA SERVICES,USD,EASYAI,2.67
AXT INC,USD,EASYAI,2.42
NVIDIA CORP,USD,EASYAI,7.70
MKS INC,USD,EASYAI,1.88
INTEL CORP,USD,EASYAI,2.16
ON Semiconductor Corp,USD,EASYAI,2.95
CAMTEK LTD,USD,EASYAI,1.94
MICRON TECH,USD,EASYAI,5.11
TTM TECHNOLOGIES,USD,EASYAI,1.40
ARGAN INC,USD,EASYAI,2.44
TERADYNE INC,USD,EASYAI,2.97
FORMFACTOR INC,USD,EASYAI,4.45
VICOR CORP,USD,EASYAI,3.46
AIXTRON SE,EUR,EASYAI,1.65
MONOLITHIC POWER,USD,EASYAI,2.00
CIENA CORP,USD,EASYAI,2.26
FABRINET,USD,EASYAI,2.45
NEBIUS GROUP NV,USD,EASYAI,2.22
SUSS MICROTEC SE,EUR,EASYAI,1.32
BLOOM ENERGY C-A,USD,EASYAI,3.80
ONTO INNOVATION,USD,EASYAI,3.45
VERTIV HOLDINGS,USD,EASYAI,1.65
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.31
ASTERA LABS INC,USD,EASYAI,2.95
COHERENT CORP,USD,EASYAI,4.17
GE VERNOVA LLC,USD,EASYAI,4.13
LUMENTUM HOL,USD,EASYAI,8.70
INAV - USD.CASH,USD,EASYAI,4.63
INAV - ZAR.CASH,ZAR,EASYAI,0.48
