description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.71
ADV ENERGY INDS,USD,EASYAI,3.41
QUANTA SERVICES,USD,EASYAI,2.62
AXT INC,USD,EASYAI,1.86
NVIDIA CORP,USD,EASYAI,4.85
MKS INC,USD,EASYAI,2.52
STMICROELECTR-NY,USD,EASYAI,1.03
INTEL CORP,USD,EASYAI,1.38
ON Semiconductor Corp,USD,EASYAI,2.17
CAMTEK LTD,USD,EASYAI,1.10
MICRON TECH,USD,EASYAI,5.22
TTM TECHNOLOGIES,USD,EASYAI,2.16
ARGAN INC,USD,EASYAI,3.64
FORMFACTOR INC,USD,EASYAI,4.85
VICOR CORP,USD,EASYAI,5.14
AIXTRON SE,EUR,EASYAI,2.26
INFINEON TECH,EUR,EASYAI,3.09
MONOLITHIC POWER,USD,EASYAI,0.87
CIENA CORP,USD,EASYAI,2.15
FABRINET,USD,EASYAI,2.86
NEBIUS GROUP NV,USD,EASYAI,2.56
SUSS MICROTEC SE,EUR,EASYAI,1.57
BLOOM ENERGY C-A,USD,EASYAI,6.33
ONTO INNOVATION,USD,EASYAI,2.79
VERTIV HOLDINGS,USD,EASYAI,1.80
GENERAL ELECTRIC,USD,EASYAI,1.50
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.26
ASTERA LABS INC,USD,EASYAI,2.35
APPLOVIN CO-CL A,USD,EASYAI,1.14
COHERENT CORP,USD,EASYAI,4.90
GE VERNOVA LLC,USD,EASYAI,4.22
LUMENTUM HOL,USD,EASYAI,6.95
INAV - EUR.CASH,EUR,EASYAI,0.10
INAV - USD.CASH,USD,EASYAI,0.04
INAV - ZAR.CASH,ZAR,EASYAI,0.41
