description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.45
ADV ENERGY INDS,USD,EASYAI,3.28
QUANTA SERVICES,USD,EASYAI,2.75
AXT INC,USD,EASYAI,1.82
NVIDIA CORP,USD,EASYAI,5.56
MKS INC,USD,EASYAI,1.99
STMICROELECTR-NY,USD,EASYAI,0.78
INTEL CORP,USD,EASYAI,1.14
ON Semiconductor Corp,USD,EASYAI,1.54
CAMTEK LTD,USD,EASYAI,0.93
MICRON TECH,USD,EASYAI,4.48
TTM TECHNOLOGIES,USD,EASYAI,1.50
ARGAN INC,USD,EASYAI,3.21
FORMFACTOR INC,USD,EASYAI,4.13
VICOR CORP,USD,EASYAI,3.75
AIXTRON SE,EUR,EASYAI,1.63
INFINEON TECH,EUR,EASYAI,2.52
MONOLITHIC POWER,USD,EASYAI,0.83
CIENA CORP,USD,EASYAI,2.24
FABRINET,USD,EASYAI,2.99
NEBIUS GROUP NV,USD,EASYAI,1.87
SUSS MICROTEC SE,EUR,EASYAI,1.34
BLOOM ENERGY C-A,USD,EASYAI,2.84
ONTO INNOVATION,USD,EASYAI,2.48
VERTIV HOLDINGS,USD,EASYAI,1.64
GENERAL ELECTRIC,USD,EASYAI,1.74
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,3.05
ASTERA LABS INC,USD,EASYAI,2.06
APPLOVIN CO-CL A,USD,EASYAI,0.90
COHERENT CORP,USD,EASYAI,4.64
GE VERNOVA LLC,USD,EASYAI,4.21
LUMENTUM HOL,USD,EASYAI,7.57
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,11.4
INAV - ZAR.CASH,ZAR,EASYAI,0.44
