description,ccy,etf_contract_code,percentage
COMFORT SYSTEMS,USD,EASYAI,6.67
ADV ENERGY INDS,USD,EASYAI,2.95
QUANTA SERVICES,USD,EASYAI,2.81
AXT INC,USD,EASYAI,2.63
NVIDIA CORP,USD,EASYAI,5.65
MKS INC,USD,EASYAI,2.15
STMICROELECTR-NY,USD,EASYAI,1.00
ON Semiconductor Corp,USD,EASYAI,2.36
CAMTEK LTD,USD,EASYAI,1.01
MICRON TECH,USD,EASYAI,5.22
TTM TECHNOLOGIES,USD,EASYAI,1.88
ARGAN INC,USD,EASYAI,3.48
FORMFACTOR INC,USD,EASYAI,4.08
VICOR CORP,USD,EASYAI,5.58
AIXTRON SE,EUR,EASYAI,2.32
INFINEON TECH,EUR,EASYAI,3.35
MONOLITHIC POWER,USD,EASYAI,0.94
CIENA CORP,USD,EASYAI,3.13
FABRINET,USD,EASYAI,3.39
NEBIUS GROUP NV,USD,EASYAI,2.59
SUSS MICROTEC SE,EUR,EASYAI,1.41
BLOOM ENERGY C-A,USD,EASYAI,5.76
ONTO INNOVATION,USD,EASYAI,2.34
VERTIV HOLDINGS,USD,EASYAI,1.91
GENERAL ELECTRIC,USD,EASYAI,1.49
CREDO TECHNOLOGY GROUP HOLDI,USD,EASYAI,2.96
IREN LTD,USD,EASYAI,1.51
APPLOVIN CO-CL A,USD,EASYAI,1.63
COHERENT CORP,USD,EASYAI,4.99
GE VERNOVA LLC,USD,EASYAI,3.96
LUMENTUM HOL,USD,EASYAI,8.10
INAV - EUR.CASH,EUR,EASYAI,0.11
INAV - USD.CASH,USD,EASYAI,0.01
INAV - ZAR.CASH,ZAR,EASYAI,0.48
