fund,fund_code,fund_name,snapshot_date,instrument,currency,weight,source_url,raw_file,raw_sha256,captured_at_utc
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,CREDO TECHNOLOGY GROUP HOLDI,USD,2.66,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,CAMTEK LTD,USD,2.59,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,META PLATFORMS-A,USD,2.39,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,BWX TECHNOLOGIES,USD,2.38,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,MKS INC,USD,2.2,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,VERTIV HOLDINGS,USD,2.17,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,AMPHENOL CORP,USD,2.15,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,NEBIUS GROUP NV,USD,1.95,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,GENERAL ELECTRIC,USD,1.5,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,APPLOVIN CO-CL A,USD,1.43,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,IREN LTD,USD,1.41,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,AXON ENTERPRISE,USD,0.95,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,KARMAN HOLDINGS INC,USD,0.8,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,INAV - ZAR.CASH,ZAR,0.45,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-08,INAV - USD.CASH,USD,0.0,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260508.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260508.csv,4f66610c4fb825b536a8466071f81b8bbd52c1dae70a308744f6703471f508d5,2026-05-09T15:31:53Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,LUMENTUM HOL,USD,8.61,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,COMFORT SYSTEMS,USD,7.75,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,BLOOM ENERGY C-A,USD,5.85,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,NVIDIA CORP,USD,5.77,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,FORMFACTOR INC,USD,5.59,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,COHERENT CORP,USD,4.91,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,VICOR CORP,USD,4.63,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,GE VERNOVA LLC,USD,4.61,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,MICRON TECH,USD,4.0,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,ARGAN INC,USD,3.9,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,ADV ENERGY INDS,USD,3.81,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,FABRINET,USD,3.6,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
easyai,EASYAI,EasyETFs AI World Actively Managed ETF,2026-05-11,QUANTA SERVICES,USD,3.24,https://easyetf-constituents.s3.us-west-2.amazonaws.com/EASYAI_PCF_ZAR_20260511.csv,data/raw/easyai/EASYAI_PCF_ZAR_20260511.csv,b15a0aae81c12a485f0646f1f6548abad473ae19e5d34b01999a98d07b543756,2026-05-11T08:36:46Z
