description,ccy,etf_contract_code,percentage
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,1.91
Attacq Limited,ZAR,EASYBF,0.58
BHP GROUP LTD,ZAR,EASYBF,2.51
CELL C HOLDINGS LTD,ZAR,EASYBF,0.28
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.18
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,22.2
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,22.2
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.25
Gold Fields Ltd,ZAR,EASYBF,1.15
New Gold Issuer Ltd,ZAR,EASYBF,3.37
Growthpoint Properties Ltd,ZAR,EASYBF,0.18
Impala Platinum Holdings Ltd,ZAR,EASYBF,0.94
Lewis Group Ltd,ZAR,EASYBF,1.01
MTN Group Ltd,ZAR,EASYBF,1.03
Ninety One Plc,ZAR,EASYBF,0.58
NewPall ETF,ZAR,EASYBF,0.64
NewPlat ETF,ZAR,EASYBF,3.24
NORTHAM PLATINUM,ZAR,EASYBF,1.13
Naspers Ltd - N Shares,ZAR,EASYBF,1.74
NINETY ONE LTD,ZAR,EASYBF,0.68
OPTASIA GROUP,ZAR,EASYBF,1.16
Pan African Resource,ZAR,EASYBF,4.34
Purple Group Ltd,ZAR,EASYBF,0.64
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Sibanye Stillwater Ltd,ZAR,EASYBF,1.54
Satrix SA Bond Portfolio,ZAR,EASYBF,7.31
SATRIX GOVI ETF,ZAR,EASYBF,0.69
SATRIX NAS 100,ZAR,EASYBF,4.83
VALTERRA PLATINUM LIMITED,ZAR,EASYBF,0.39
Vukile Property Fund Ltd,ZAR,EASYBF,1.20
Vodacom Group Limited,ZAR,EASYBF,0.23
INAV - ZAR.CASH,ZAR,EASYBF,6.19
