description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.51
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.11
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.93
BHP GROUP LTD,ZAR,EASYBF,2.31
BOXER RETAIL LTD,ZAR,EASYBF,1.24
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.19
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,20.6
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,20.9
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.99
New Gold Issuer Ltd,ZAR,EASYBF,4.38
Glencore Xstrata Plc,ZAR,EASYBF,1.46
Grindrod Ltd,ZAR,EASYBF,2.06
Lewis Group Ltd,ZAR,EASYBF,1.13
MTN Group Ltd,ZAR,EASYBF,1.33
Ninety One Plc,ZAR,EASYBF,0.57
Naspers Ltd - N Shares,ZAR,EASYBF,1.39
NINETY ONE LTD,ZAR,EASYBF,0.67
Pan African Resource,ZAR,EASYBF,2.70
Purple Group Ltd,ZAR,EASYBF,0.60
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.99
Shoprite Holdings Ltd,ZAR,EASYBF,0.53
SOUTHERN SUN LTD,ZAR,EASYBF,0.38
Satrix SA Bond Portfolio,ZAR,EASYBF,12.6
SATRIX GOVI ETF,ZAR,EASYBF,0.70
SATRIX NAS 100,ZAR,EASYBF,4.72
Vukile Property Fund Ltd,ZAR,EASYBF,2.04
INAV - ZAR.CASH,ZAR,EASYBF,4.65
