description,ccy,etf_contract_code,percentage
AECI Ltd,ZAR,EASYBF,0.65
Anglo American Plc,ZAR,EASYBF,1.67
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,0.91
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.93
BHP GROUP LTD,ZAR,EASYBF,2.46
BOXER RETAIL LTD,ZAR,EASYBF,0.75
Capitec Bank Holdings Ltd,ZAR,EASYBF,3.89
Discovery Holdings Ltd,ZAR,EASYBF,0.80
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.8
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,22.0
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.10
New Gold Issuer Ltd,ZAR,EASYBF,4.66
Glencore Xstrata Plc,ZAR,EASYBF,1.69
Grindrod Ltd,ZAR,EASYBF,2.42
Lewis Group Ltd,ZAR,EASYBF,1.06
MTN Group Ltd,ZAR,EASYBF,0.83
Ninety One Plc,ZAR,EASYBF,0.58
Naspers Ltd - N Shares,ZAR,EASYBF,1.42
NINETY ONE LTD,ZAR,EASYBF,0.67
Pan African Resource,ZAR,EASYBF,3.02
Purple Group Ltd,ZAR,EASYBF,0.60
Resilient Property Income Fund Ltd,ZAR,EASYBF,0.57
Shoprite Holdings Ltd,ZAR,EASYBF,0.79
SOUTHERN SUN LTD,ZAR,EASYBF,0.39
Satrix SA Bond Portfolio,ZAR,EASYBF,7.34
SATRIX GOVI ETF,ZAR,EASYBF,0.70
SATRIX NAS 100,ZAR,EASYBF,4.82
Vukile Property Fund Ltd,ZAR,EASYBF,1.16
INAV - ZAR.CASH,ZAR,EASYBF,10.1
