description,ccy,etf_contract_code,percentage
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.16
Attacq Limited,ZAR,EASYBF,0.55
BHP GROUP LTD,ZAR,EASYBF,2.51
CELL C HOLDINGS LTD,ZAR,EASYBF,0.28
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.16
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.8
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.18
Gold Fields Ltd,ZAR,EASYBF,1.26
New Gold Issuer Ltd,ZAR,EASYBF,3.38
Growthpoint Properties Ltd,ZAR,EASYBF,0.17
Impala Platinum Holdings Ltd,ZAR,EASYBF,1.04
Lewis Group Ltd,ZAR,EASYBF,1.02
MTN Group Ltd,ZAR,EASYBF,1.05
Ninety One Plc,ZAR,EASYBF,0.58
NewPall ETF,ZAR,EASYBF,0.66
NewPlat ETF,ZAR,EASYBF,3.34
NORTHAM PLATINUM,ZAR,EASYBF,1.18
Naspers Ltd - N Shares,ZAR,EASYBF,1.76
NINETY ONE LTD,ZAR,EASYBF,0.67
OPTASIA GROUP,ZAR,EASYBF,1.18
Pan African Resource,ZAR,EASYBF,4.78
Purple Group Ltd,ZAR,EASYBF,0.65
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Sibanye Stillwater Ltd,ZAR,EASYBF,1.68
Satrix SA Bond Portfolio,ZAR,EASYBF,7.26
SATRIX GOVI ETF,ZAR,EASYBF,0.69
SATRIX NAS 100,ZAR,EASYBF,4.66
VALTERRA PLATINUM LIMITED,ZAR,EASYBF,0.42
Vukile Property Fund Ltd,ZAR,EASYBF,1.19
Vodacom Group Limited,ZAR,EASYBF,0.23
INAV - ZAR.CASH,ZAR,EASYBF,6.04
