description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.59
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.22
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.97
BHP GROUP LTD,ZAR,EASYBF,2.42
BOXER RETAIL LTD,ZAR,EASYBF,1.32
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.30
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,20.8
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.0
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.04
New Gold Issuer Ltd,ZAR,EASYBF,4.43
Glencore Xstrata Plc,ZAR,EASYBF,1.46
Grindrod Ltd,ZAR,EASYBF,2.06
Lewis Group Ltd,ZAR,EASYBF,1.14
MTN Group Ltd,ZAR,EASYBF,1.38
Ninety One Plc,ZAR,EASYBF,0.56
Naspers Ltd - N Shares,ZAR,EASYBF,1.28
NINETY ONE LTD,ZAR,EASYBF,0.66
Pan African Resource,ZAR,EASYBF,2.92
Purple Group Ltd,ZAR,EASYBF,0.57
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.02
Shoprite Holdings Ltd,ZAR,EASYBF,0.55
SOUTHERN SUN LTD,ZAR,EASYBF,0.38
Satrix SA Bond Portfolio,ZAR,EASYBF,12.8
SATRIX GOVI ETF,ZAR,EASYBF,0.72
SATRIX NAS 100,ZAR,EASYBF,4.77
Vukile Property Fund Ltd,ZAR,EASYBF,2.14
INAV - ZAR.CASH,ZAR,EASYBF,3.13
