description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.70
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.21
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,1.07
BHP GROUP LTD,ZAR,EASYBF,2.64
BOXER RETAIL LTD,ZAR,EASYBF,1.25
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.40
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,18.6
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,19.4
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.18
New Gold Issuer Ltd,ZAR,EASYBF,4.67
Glencore Xstrata Plc,ZAR,EASYBF,1.63
Grindrod Ltd,ZAR,EASYBF,2.18
Lewis Group Ltd,ZAR,EASYBF,1.08
MTN Group Ltd,ZAR,EASYBF,1.43
Ninety One Plc,ZAR,EASYBF,0.60
Naspers Ltd - N Shares,ZAR,EASYBF,1.46
NINETY ONE LTD,ZAR,EASYBF,0.70
Pan African Resource,ZAR,EASYBF,2.90
Purple Group Ltd,ZAR,EASYBF,0.63
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.16
Shoprite Holdings Ltd,ZAR,EASYBF,0.56
SOUTHERN SUN LTD,ZAR,EASYBF,0.41
Satrix SA Bond Portfolio,ZAR,EASYBF,13.1
SATRIX GOVI ETF,ZAR,EASYBF,0.74
SATRIX NAS 100,ZAR,EASYBF,4.80
Vukile Property Fund Ltd,ZAR,EASYBF,2.22
INAV - ZAR.CASH,ZAR,EASYBF,5.04
