description,ccy,etf_contract_code,percentage
AECI Ltd,ZAR,EASYBF,0.68
Anglo American Plc,ZAR,EASYBF,1.68
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,0.95
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.95
BHP GROUP LTD,ZAR,EASYBF,2.58
BOXER RETAIL LTD,ZAR,EASYBF,0.75
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.01
Discovery Holdings Ltd,ZAR,EASYBF,0.85
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.8
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.18
New Gold Issuer Ltd,ZAR,EASYBF,4.51
Glencore Xstrata Plc,ZAR,EASYBF,1.60
Grindrod Ltd,ZAR,EASYBF,2.43
Lewis Group Ltd,ZAR,EASYBF,1.03
MTN Group Ltd,ZAR,EASYBF,0.87
Ninety One Plc,ZAR,EASYBF,0.56
Naspers Ltd - N Shares,ZAR,EASYBF,1.36
NINETY ONE LTD,ZAR,EASYBF,0.66
Pan African Resource,ZAR,EASYBF,3.21
Purple Group Ltd,ZAR,EASYBF,0.60
Resilient Property Income Fund Ltd,ZAR,EASYBF,0.59
Shoprite Holdings Ltd,ZAR,EASYBF,0.79
SOUTHERN SUN LTD,ZAR,EASYBF,0.38
Satrix SA Bond Portfolio,ZAR,EASYBF,7.33
SATRIX GOVI ETF,ZAR,EASYBF,0.69
SATRIX NAS 100,ZAR,EASYBF,4.75
Vukile Property Fund Ltd,ZAR,EASYBF,1.21
INAV - ZAR.CASH,ZAR,EASYBF,9.93
