description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.75
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.66
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.49
BHP GROUP LTD,ZAR,EASYBF,2.52
BOXER RETAIL LTD,ZAR,EASYBF,1.31
CIE FINANCIERE R,ZAR,EASYBF,0.90
CAPITEC LIMITED,ZAR,EASYBF,4.71
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,19.0
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,19.2
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.13
New Gold Issuer Ltd,ZAR,EASYBF,8.04
Glencore Xstrata Plc,ZAR,EASYBF,1.58
Grindrod Ltd,ZAR,EASYBF,2.39
Investec Plc,ZAR,EASYBF,0.63
Lewis Group Ltd,ZAR,EASYBF,0.99
MTN Group Ltd,ZAR,EASYBF,0.58
Ninety One Plc,ZAR,EASYBF,0.57
Naspers Ltd - N Shares,ZAR,EASYBF,1.19
NINETY ONE LTD,ZAR,EASYBF,0.66
Pan African Resource,ZAR,EASYBF,3.64
Purple Group Ltd,ZAR,EASYBF,0.82
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.98
SOUTHERN SUN LTD,ZAR,EASYBF,0.43
Satrix SA Bond Portfolio,ZAR,EASYBF,13.0
SATRIX GOVI ETF,ZAR,EASYBF,0.73
SATRIX NAS 100,ZAR,EASYBF,4.96
Vukile Property Fund Ltd,ZAR,EASYBF,2.10
INAV - ZAR.CASH,ZAR,EASYBF,0.74
