description,ccy,etf_contract_code,percentage
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.05
Attacq Limited,ZAR,EASYBF,0.56
BHP GROUP LTD,ZAR,EASYBF,2.53
CELL C HOLDINGS LTD,ZAR,EASYBF,0.28
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.19
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,21.8
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.9
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.20
Gold Fields Ltd,ZAR,EASYBF,1.23
New Gold Issuer Ltd,ZAR,EASYBF,3.39
Growthpoint Properties Ltd,ZAR,EASYBF,0.17
Impala Platinum Holdings Ltd,ZAR,EASYBF,1.02
Lewis Group Ltd,ZAR,EASYBF,1.00
MTN Group Ltd,ZAR,EASYBF,1.04
Ninety One Plc,ZAR,EASYBF,0.58
NewPall ETF,ZAR,EASYBF,0.65
NewPlat ETF,ZAR,EASYBF,3.37
NORTHAM PLATINUM,ZAR,EASYBF,1.16
Naspers Ltd - N Shares,ZAR,EASYBF,1.68
NINETY ONE LTD,ZAR,EASYBF,0.67
OPTASIA GROUP,ZAR,EASYBF,1.16
Pan African Resource,ZAR,EASYBF,4.81
Purple Group Ltd,ZAR,EASYBF,0.66
SOUTHERN SUN LTD,ZAR,EASYBF,0.39
Sibanye Stillwater Ltd,ZAR,EASYBF,1.64
Satrix SA Bond Portfolio,ZAR,EASYBF,7.22
SATRIX GOVI ETF,ZAR,EASYBF,0.69
SATRIX NAS 100,ZAR,EASYBF,4.71
VALTERRA PLATINUM LIMITED,ZAR,EASYBF,0.42
Vukile Property Fund Ltd,ZAR,EASYBF,1.20
Vodacom Group Limited,ZAR,EASYBF,0.23
INAV - ZAR.CASH,ZAR,EASYBF,6.07
