description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.77
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.67
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.50
BHP GROUP LTD,ZAR,EASYBF,2.54
BOXER RETAIL LTD,ZAR,EASYBF,1.32
CIE FINANCIERE R,ZAR,EASYBF,0.91
CAPITEC LIMITED,ZAR,EASYBF,4.67
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,19.1
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,19.1
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.15
New Gold Issuer Ltd,ZAR,EASYBF,7.98
Glencore Xstrata Plc,ZAR,EASYBF,1.54
Grindrod Ltd,ZAR,EASYBF,2.34
Investec Plc,ZAR,EASYBF,0.62
Lewis Group Ltd,ZAR,EASYBF,0.98
MTN Group Ltd,ZAR,EASYBF,0.58
Ninety One Plc,ZAR,EASYBF,0.57
Naspers Ltd - N Shares,ZAR,EASYBF,1.23
NINETY ONE LTD,ZAR,EASYBF,0.66
Pan African Resource,ZAR,EASYBF,3.69
Purple Group Ltd,ZAR,EASYBF,0.83
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.98
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Satrix SA Bond Portfolio,ZAR,EASYBF,13.0
SATRIX GOVI ETF,ZAR,EASYBF,0.72
SATRIX NAS 100,ZAR,EASYBF,5.01
Vukile Property Fund Ltd,ZAR,EASYBF,2.11
INAV - ZAR.CASH,ZAR,EASYBF,0.74
