description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.65
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,1.86
Attacq Limited,ZAR,EASYBF,0.24
BHP GROUP LTD,ZAR,EASYBF,2.51
BOXER RETAIL LTD,ZAR,EASYBF,0.82
CELL C HOLDINGS LTD,ZAR,EASYBF,0.26
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.33
Discovery Holdings Ltd,ZAR,EASYBF,0.83
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,20.9
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,21.1
Fortress Real Estate Investments Limited B,ZAR,EASYBF,1.25
New Gold Issuer Ltd,ZAR,EASYBF,3.44
Glencore Xstrata Plc,ZAR,EASYBF,0.83
Grindrod Ltd,ZAR,EASYBF,0.09
Lewis Group Ltd,ZAR,EASYBF,1.05
MTN Group Ltd,ZAR,EASYBF,0.85
Ninety One Plc,ZAR,EASYBF,0.61
NewPall ETF,ZAR,EASYBF,0.64
NewPlat ETF,ZAR,EASYBF,3.26
NORTHAM PLATINUM,ZAR,EASYBF,0.48
Naspers Ltd - N Shares,ZAR,EASYBF,1.51
NINETY ONE LTD,ZAR,EASYBF,0.72
OPTASIA GROUP,ZAR,EASYBF,0.81
Pan African Resource,ZAR,EASYBF,4.40
Purple Group Ltd,ZAR,EASYBF,0.67
Resilient Property Income Fund Ltd,ZAR,EASYBF,0.62
Shoprite Holdings Ltd,ZAR,EASYBF,0.84
SOUTHERN SUN LTD,ZAR,EASYBF,0.41
Satrix SA Bond Portfolio,ZAR,EASYBF,7.40
SATRIX GOVI ETF,ZAR,EASYBF,0.71
SATRIX NAS 100,ZAR,EASYBF,4.90
VALTERRA PLATINUM LIMITED,ZAR,EASYBF,0.40
Vukile Property Fund Ltd,ZAR,EASYBF,1.24
Vodacom Group Limited,ZAR,EASYBF,0.24
INAV - ZAR.CASH,ZAR,EASYBF,7.90
