description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.79
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.81
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.48
BHP GROUP LTD,ZAR,EASYBF,2.66
BOXER RETAIL LTD,ZAR,EASYBF,1.23
CIE FINANCIERE R,ZAR,EASYBF,0.93
CAPITEC LIMITED,ZAR,EASYBF,4.80
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,18.4
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,18.8
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.07
New Gold Issuer Ltd,ZAR,EASYBF,7.98
Glencore Xstrata Plc,ZAR,EASYBF,1.79
Grindrod Ltd,ZAR,EASYBF,2.00
Investec Plc,ZAR,EASYBF,0.63
Lewis Group Ltd,ZAR,EASYBF,0.99
MTN Group Ltd,ZAR,EASYBF,0.59
Ninety One Plc,ZAR,EASYBF,0.55
Naspers Ltd - N Shares,ZAR,EASYBF,1.19
NINETY ONE LTD,ZAR,EASYBF,0.65
Pan African Resource,ZAR,EASYBF,3.84
Purple Group Ltd,ZAR,EASYBF,0.84
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.90
SOUTHERN SUN LTD,ZAR,EASYBF,0.40
Satrix SA Bond Portfolio,ZAR,EASYBF,12.8
SATRIX GOVI ETF,ZAR,EASYBF,0.72
SATRIX NAS 100,ZAR,EASYBF,4.71
Vukile Property Fund Ltd,ZAR,EASYBF,2.06
INAV - ZAR.CASH,ZAR,EASYBF,2.22
