description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.74
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.70
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.52
BHP GROUP LTD,ZAR,EASYBF,2.57
BOXER RETAIL LTD,ZAR,EASYBF,1.26
CIE FINANCIERE R,ZAR,EASYBF,0.95
CAPITEC LIMITED,ZAR,EASYBF,4.83
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,17.7
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,18.3
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.14
New Gold Issuer Ltd,ZAR,EASYBF,8.19
Glencore Xstrata Plc,ZAR,EASYBF,1.73
Grindrod Ltd,ZAR,EASYBF,2.18
Investec Plc,ZAR,EASYBF,0.66
Lewis Group Ltd,ZAR,EASYBF,1.04
MTN Group Ltd,ZAR,EASYBF,0.61
Ninety One Plc,ZAR,EASYBF,0.58
Naspers Ltd - N Shares,ZAR,EASYBF,1.27
NINETY ONE LTD,ZAR,EASYBF,0.67
Pan African Resource,ZAR,EASYBF,3.44
Purple Group Ltd,ZAR,EASYBF,0.86
Resilient Property Income Fund Ltd,ZAR,EASYBF,1.99
SOUTHERN SUN LTD,ZAR,EASYBF,0.41
Satrix SA Bond Portfolio,ZAR,EASYBF,13.2
SATRIX GOVI ETF,ZAR,EASYBF,0.74
SATRIX NAS 100,ZAR,EASYBF,4.90
Vukile Property Fund Ltd,ZAR,EASYBF,2.14
INAV - ZAR.CASH,ZAR,EASYBF,2.31
