description,ccy,etf_contract_code,percentage
Anglo American Plc,ZAR,EASYBF,1.51
ANGLOGOLD ASHANTI PLC,ZAR,EASYBF,2.03
ANHEUSER-BUSCH INBEV SA/NV,ZAR,EASYBF,0.97
BHP GROUP LTD,ZAR,EASYBF,2.29
BOXER RETAIL LTD,ZAR,EASYBF,1.29
Capitec Bank Holdings Ltd,ZAR,EASYBF,4.06
AI ACTIVELY MANAGED ETF,ZAR,EASYBF,22.1
EGE ACTIVELY MANAGED ETF,ZAR,EASYBF,22.2
Fortress Real Estate Investments Limited B,ZAR,EASYBF,2.05
New Gold Issuer Ltd,ZAR,EASYBF,4.18
Glencore Xstrata Plc,ZAR,EASYBF,1.42
Grindrod Ltd,ZAR,EASYBF,1.97
Lewis Group Ltd,ZAR,EASYBF,1.02
MTN Group Ltd,ZAR,EASYBF,1.30
Ninety One Plc,ZAR,EASYBF,0.53
Naspers Ltd - N Shares,ZAR,EASYBF,1.28
NINETY ONE LTD,ZAR,EASYBF,0.63
Pan African Resource,ZAR,EASYBF,2.72
Purple Group Ltd,ZAR,EASYBF,0.56
Resilient Property Income Fund Ltd,ZAR,EASYBF,2.00
Shoprite Holdings Ltd,ZAR,EASYBF,0.54
SOUTHERN SUN LTD,ZAR,EASYBF,0.37
Satrix SA Bond Portfolio,ZAR,EASYBF,12.3
SATRIX GOVI ETF,ZAR,EASYBF,0.69
SATRIX NAS 100,ZAR,EASYBF,4.60
Vukile Property Fund Ltd,ZAR,EASYBF,2.09
INAV - ZAR.CASH,ZAR,EASYBF,3.01
